ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1,1.29120061,0.018485606,0.111655995,-0.370289883,3,0,1,-0.744468732,1.002352572,0,-0.48784965,0.03315438,0.078864783,14362,9,0.015704859,0.116130195,-0.08592189,2.58E-05,394,0.511418974,0.928102901,0,0.046847198,0.076923077,0,0.002852659,0,-0.182203708,0.259563204,,0.002280002,1,CT,-0.394423233,0.191371428,0.284761426,-0.587170146,0.694648802,0.280279843,0.016847317,0.311005973,1984-CT-3,0,0.556501126,1.54244085,-1.198823487,0,-0.407219267,0.461974881,-1.337517704,0
1,1.233143497,0.018485606,0.121547637,-0.61412617,4,0,1,-0.592629361,1.047014075,0,-0.555317509,0.041708572,0.039389103,19254,9,0.015704859,0.208334228,-0.641246035,2.58E-05,224,0.570771146,1.397535555,0,0.340337876,0,0,0.001908209,0,-0.056106531,0.259342276,,0.000603714,1,CT,-0.953188705,-0.111873904,0.191440626,-0.587170146,0.986129809,0,0.016157745,0.076144723,1984-CT-4,4,1.51756203,1.353403467,0.032936446,4,-0.320556105,0.165101977,-0.883053458,0
1,0.845798049,0.018485606,0.04433312,-0.079363912,5,0,0,-0.50538832,0.940194388,0,0.034394085,0.038781956,0.035844709,12735,9,0.015704859,0.143914931,-0.439674675,2.58E-05,595,0.37243773,2.151952339,0,0.181729404,0,0,0.002143977,1,-0.238380152,0.259508671,,0.005251105,1,CT,-0.424199767,-0.473815109,0.199821007,-0.587170146,0.308647564,0,0.017505423,-0.229547913,1984-CT-5,4,0.595298279,1.449806222,-1.078995865,0,-0.099682619,0.307811714,-0.742755066,1
1,1.022762773,0.018485606,0.018551712,0.097091384,6,0,0,-0.312037308,1.24608287,0,-0.096850134,0.064605338,0.035032008,21222,9,0.015704859,0.128829676,-0.323568713,2.58E-05,1426,0.223529255,2.042929875,0,0.150934008,0,0,0.003668703,0,-0.302673889,0.257338537,,0.014771434,1,CT,-0.11534841,-0.606367691,0.189309723,-0.587170146,-0.141104307,0,0.018783304,0.158262146,1984-CT-6,4,1.247776657,1.490444301,-0.410255327,4,-0.147258458,0.681938004,-1.217707228,0
1,1.43335098,0.002586528,0.002796986,-0.321920854,1,0,1,0.066451181,0.252437463,0,0.177321486,0.139379022,0.132732839,13030,23,0.015704859,0.058777883,0.433275658,0.000372988,4575,0.408767174,0.354269082,1,-0.358043181,0.153846154,0.2,0.051404632,1,-0.332928536,0.321616191,,0.034488478,2,ME,0.230580817,-0.315770727,0.301561744,-0.628356483,-0.706447042,0.198513336,0.018337123,0.008769564,1984-ME-1,4,1.969957948,2.299131262,-0.442350454,4,0.573892613,1.731702128,-1.309742851,0
1,1.186030372,0.002586528,0.002692089,0.093078879,2,0,1,-0.239891409,-0.160653738,0,0.483346526,0.229320253,0.067750916,7217,23,0.015704859,0.068377153,0.086790942,0.000372988,26420,0.535497791,0.595279187,0,-0.539484124,0.230769231,0.2,0.049661509,0,-0.345788474,0.319420887,,0.051911426,2,ME,0.241766773,-0.520978506,0.420897899,-0.628356483,-1.008280071,0,0.016029256,-0.847565356,1984-ME-2,4,2.217547126,1.686278737,0.401382306,4,0.895796648,0.89581172,-0.171128887,0
1,1.435952297,0.044668344,0.012257241,-0.229595844,1,0,0,-0.886096683,0.732094495,0,-0.302138643,0.090413475,0.054948094,10641,25,0.015704859,0.078363357,1.038285954,0.000323471,2715,0.839228838,0.929876404,0,-0.172539522,0.076923077,0,0.002969327,1,-0.32416686,0.264880873,,0.022860422,3,MA,1.51913044,-0.639105248,0.281580741,-0.504797473,-0.045191039,0.23567993,0.016946424,-0.162031854,1984-MA-1,4,1.438436952,1.132129666,0.20779637,0,1.163701102,-0.210952307,2.122055358,1
1,1.434756631,0.044668344,0.056929711,0.190344847,2,0,0,-1.092322962,0.588075498,0,-0.120076666,0.047133418,0.055577025,13809,25,0.015704859,0.123758886,-0.060301831,0.000323471,999,0.743336004,1.660135946,0,-0.16595792,0.076923077,0.2,0.012061621,0,-0.282491959,0.2640447,,0.012209749,3,MA,-0.26132042,-0.263907284,0.256542668,-0.504797473,0.3451309,0,0.017275459,-0.211877004,1984-MA-2,0,0.647898773,0.595162534,-0.086762322,0,0.383617934,0.105467785,0.246678511,0
1,1.115243579,0.044668344,0.01533551,-0.144282495,3,0,0,-0.820832392,0.905891338,0,0.118251941,0.043387844,0.048530051,12887,25,0.015704859,0.110445366,0.359990927,0.000323471,729,1.181401504,1.574458103,0,0.012720375,0,0,0.006750452,0,-0.258154966,0.263235095,,0.007325978,3,MA,0.180007496,-0.379643015,0.201357341,-0.504797473,0.220595703,0,0.016596133,-0.033534276,1984-MA-3,0,1.064057622,1.081954078,-0.173732234,0,1.083232263,-0.276943153,2.153018607,0
1,1.456374225,0.044668344,0.010026204,-0.328329523,4,0,1,-0.91007132,1.100046783,0,-0.243557279,0.036087039,0.05992302,14692,25,0.015704859,0.183713058,0.076589897,0.000323471,501,0.860350607,1.090468091,0,0.086743079,0.076923077,0,0.003829922,0,-0.216890979,0.264129996,,0.005137891,3,MA,-0.166800767,-0.808585519,0.217547062,-0.504797473,0.497462084,0,0.01466808,-5.17E-05,1984-MA-4,0,1.709146066,1.312332684,0.295854759,0,0.486483838,0.904191813,-0.668503263,0
1,0.680060177,0.044668344,0.016018295,-0.323397835,5,0,0,-0.948697125,0.856671126,0,0.125859105,0.035616013,0.122215965,12164,25,0.015704859,0.130420608,0.232684787,0.000323471,575,0.723270323,1.885413349,0,0.146140002,0.153846154,0.4,0.081961475,0,-0.234637601,0.25895635,,0.005825584,3,MA,-0.486187099,-0.846052369,0.160094167,-0.504797473,0.46442559,0.324005247,0.016338921,-0.510575458,1984-MA-5,0,0.313108374,1.166205074,-1.145048412,0,1.013431424,0.159394351,1.086750438,0
