year,state,state_po,district,party,candidatevotes,totalvotes,winratio,ID,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1976,Iowa,IA,4,0,145343,210356,0.690938219,1976-IA-4,,,,,
1976,Iowa,IA,5,0,135600,209052,0.648642443,1976-IA-5,,,,,
1976,Iowa,IA,6,0,133507,198002,0.674270967,1976-IA-6,,,,,
1976,Kansas,KS,1,4,142311,194772,0.730654303,1976-KS-1,,,,,
1976,Kansas,KS,2,0,88645,174861,0.506945517,1976-KS-2,,,,,
1976,Kansas,KS,3,4,123578,179865,0.687059739,1976-KS-3,,,,,
1976,Kansas,KS,4,0,90067,179168,0.502695794,1976-KS-4,,,,,
1976,Kansas,KS,5,4,109573,180625,0.606632526,1976-KS-5,,,,,
1976,Kentucky,KY,1,0,118886,144985,0.819988275,1976-KY-1,,,,,
1976,Kentucky,KY,2,0,79016,130920,0.603544149,1976-KY-2,,,,,
1976,Kentucky,KY,3,0,80496,140744,0.571932018,1976-KY-3,,,,,
1976,Kentucky,KY,4,4,97493,174502,0.558692737,1976-KY-4,,,,,
1976,Kentucky,KY,5,4,100204,150473,0.665926778,1976-KY-5,,,,,
1976,Kentucky,KY,6,0,90695,96493,0.93991274,1976-KY-6,,,,,
1976,Kentucky,KY,7,0,110450,150831,0.732276521,1976-KY-7,,,,,
1976,Louisiana,LA,1,0,61652,130558,0.472219244,1976-LA-1,,,,,
1976,Louisiana,LA,2,0,85923,92827,0.925625088,1976-LA-2,,,,,
1976,Louisiana,LA,3,4,109135,148863,0.733123745,1976-LA-3,,,,,
1976,Louisiana,LA,4,0,76406,76406,1,1976-LA-4,,,,,
1976,Louisiana,LA,5,0,83696,159270,0.525497583,1976-LA-5,,,,,
1976,Louisiana,LA,6,4,99780,152992,0.652190964,1976-LA-6,,,,,
1976,Louisiana,LA,7,0,117196,140610,0.833482683,1976-LA-7,,,,,
1976,Louisiana,LA,8,0,106285,112811,0.942151031,1976-LA-8,,,,,
1976,Maine,ME,1,4,145523,253628,0.573765515,1976-ME-1,,,,,
1976,Maine,ME,2,4,169292,219547,0.771096849,1976-ME-2,,,,,
1976,Maryland,MD,1,4,85919,158912,0.540670308,1976-MD-1,,,,,
1976,Maryland,MD,2,0,139196,196303,0.709087482,1976-MD-2,,,,,
1976,Maryland,MD,3,0,107014,143461,0.745944891,1976-MD-3,,,,,
1976,Maryland,MD,4,4,95158,165013,0.576669717,1976-MD-4,,,,,
1976,Maryland,MD,5,0,77836,134893,0.577020305,1976-MD-5,,,,,
1976,Maryland,MD,6,0,126801,179004,0.708369645,1976-MD-6,,,,,
1976,Maryland,MD,7,0,94991,100633,0.943934892,1976-MD-7,,,,,
1976,Maryland,MD,8,4,111274,237652,0.468222443,1976-MD-8,,,,,
1976,Massachusetts,MA,1,4,137652,215870,0.637661556,1976-MA-1,,,,,
1976,Massachusetts,MA,2,0,134408,185755,0.723576754,1976-MA-2,,,,,
1976,Massachusetts,MA,3,0,168520,168568,0.999715248,1976-MA-3,,,,,
1976,Massachusetts,MA,4,0,109268,209835,0.520732957,1976-MA-4,,,,,
1976,Massachusetts,MA,5,0,144217,214263,0.673084014,1976-MA-5,,,,,
1976,Massachusetts,MA,6,0,121562,221813,0.548038212,1976-MA-6,,,,,
1976,Massachusetts,MA,7,0,162126,210809,0.769065837,1976-MA-7,,,,,
1976,Massachusetts,MA,8,0,133131,178850,0.744372379,1976-MA-8,,,,,
1976,Massachusetts,MA,9,0,103901,149371,0.695590175,1976-MA-9,,,,,
1976,Massachusetts,MA,10,4,176604,176691,0.999507615,1976-MA-10,,,,,
1976,Massachusetts,MA,11,0,131789,191055,0.689796132,1976-MA-11,,,,,
1976,Massachusetts,MA,12,0,222418,222504,0.99961349,1976-MA-12,,,,,
1976,Michigan,MI,1,0,126161,136582,0.923701513,1976-MI-1,,,,,
1976,Michigan,MI,2,4,95397,191738,0.497538307,1976-MI-2,,,,,
1976,Michigan,MI,3,4,99231,196158,0.505872817,1976-MI-3,,,,,
1976,Michigan,MI,4,4,107881,179737,0.600215871,1976-MI-4,,,,,
1976,Michigan,MI,5,4,109589,205438,0.533440746,1976-MI-5,,,,,
1976,Michigan,MI,6,0,108909,206504,0.527394142,1976-MI-6,,,,,
1976,Michigan,MI,7,0,124260,177582,0.699733081,1976-MI-7,,,,,
