STATE,FIPSTATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,WHLSALE
NJ,34,12,10,2,84862,41732,288106,55247,0,0,7307,223096,0,106221,591,9738,14729,16.53,74226,41448,36417,39,22431,55509,0,14729,0,0,260,,13482.87179,525832,,0,9279,13236,24656,19.9,525832,859,44675,30184,7903
NJ,34,12,11,2,108716,41732,36425,33153,0,1,10951,274226,0,83034,1195,6811,25286,16.53,60326,38565,36417,154,25118,60693,0,26237,0,0,146,,3410.974026,525290,,0,6636,13314,13892,19.9,525290,0,71458,53258,14420
NJ,34,12,12,2,93564,41732,16687,26591,0,0,12392,262836,0,101545,2529,6138,23765,16.53,43432,35021,36417,891,22787,60003,0,30287,0,0,128,,591.4320988,526966,,3224,6096,9315,10033,19.9,382089,1168,75484,46599,12157
NJ,34,12,13,2,119490,41732,22650,23921,0,1,12254,220032,0,101543,2184,9534,15234,16.53,33560,38063,36417,967,22967,36049,0,23040,3,2,15226,1,544.2637022,526303,,1726,5562,8584,14766,19.9,395546,0,73527,46585,9950
NJ,34,12,14,2,107277,41732,69746,59739,0,1,6546,248454,0,76857,549,8811,17556,16.53,125974,38608,36417,34,23426,65525,0,17463,1,0,1015,,15493.47059,526778,,0,6371,21643,21828,19.9,526778,0,52544,43130,12914
NY,36,13,1,2,87951,326416,20450,25317,0,1,12008,218950,0,119517,3961,9285,11928,16.53,37253,50745,28662,633,29690,31081,0,22292,0,0,393,1,815.7661927,516380,,525,11770,10711,14689,35.8,471537,0,67753,42582,8575
NY,36,13,2,2,65070,326416,44296,39264,0,1,11012,235521,0,121213,2237,7417,14560,16.53,38548,45255,28662,166,25781,49800,0,23647,0,0,119,,3104.873494,515409,,0,12057,16404,14768,35.8,514581,0,68541,44381,11120
NY,36,13,3,2,85578,326416,14171,21197,0,1,10572,252177,0,98799,2437,4831,21821,16.53,53802,39778,28662,222,27930,43180,0,30726,0,0,163,,2334.905405,518349,,8,7017,10374,10732,35.8,512027,778,73489,50580,14017
NY,36,13,4,2,67328,326416,19059,27595,0,1,10773,261882,0,101144,1561,5599,22568,16.53,41514,43498,28662,96,32692,43642,0,28342,0,0,164,,5397.4375,518154,,0,5207,15292,12104,35.8,518154,0,79896,58450,15673
NY,36,13,5,2,100247,326416,63216,24752,0,1,9338,248458,0,87695,1934,6459,22524,16.53,55150,42661,28662,75,31396,34211,0,26789,0,0,482,,6849.586667,513719,,0,4806,16899,12156,35.8,513719,0,72580,53017,13581
NY,36,13,6,2,100391,326416,259957,34225,1,1,5985,226921,0,93017,866,11370,24021,16.53,92416,49785,28662,41,31266,30376,0,19656,0,0,177,,12611.95122,517090,152053796,0,7149,24506,17255,35.8,517090,0,56290,33212,8826
NY,36,13,7,2,130499,326416,61172,32287,1,1,5929,261195,0,59052,728,7924,28415,16.53,180930,35229,28662,22,21578,46321,0,21047,0,0,198,,23605.31818,519317,152053796,0,5727,18017,15349,35.8,519317,0,51339,50679,15100
NY,36,13,8,2,129751,326416,51800,26023,1,1,8260,245538,0,61700,654,8642,25004,16.53,115835,40908,28662,36,26683,36610,1,21848,0,0,346,,14213.33333,511680,152053796,0,5583,17053,13736,35.8,511680,0,60867,50266,14896
NY,36,13,9,2,140279,326416,19706,39217,1,1,8682,246900,0,51765,641,7058,28855,16.53,183579,27537,28662,21,17181,48804,0,18480,0,0,76,,24562,515802,152053796,0,3298,17202,15813,35.8,515802,0,51204,51018,13542
NY,36,13,10,2,136827,326416,26089,26035,1,1,6498,232051,0,57119,496,7143,29797,16.53,110271,40194,28662,23,27510,33672,0,19677,0,0,199,,22305.73913,513032,152053796,0,5541,15493,15287,35.8,513032,0,57826,46324,13114
NY,36,13,11,2,61675,326416,245103,39028,1,0,4151,174616,0,121537,394,6703,15651,16.53,83040,33040,28662,15,21288,37897,0,9542,0,0,144,,34511.26667,517669,152053796,0,5049,10808,22691,35.8,517669,0,31144,22522,5983
NY,36,13,12,2,61761,326416,413677,33081,1,0,4505,218292,0,106457,332,9178,25220,16.53,170612,47308,28662,11,29868,30916,0,12690,0,0,293,,46936.36364,516300,152053796,0,8262,14135,22691,35.8,516300,0,30226,25516,5497
NY,36,13,13,2,137926,326416,37985,34309,1,1,6071,206730,0,62023,614,6843,26377,16.53,131973,30582,28662,17,19326,41246,0,15523,2,1,971,,30596.70588,520144,152053796,0,4413,13786,16477,35.8,520144,847,46948,35863,10423
NY,36,13,14,2,106807,326416,26537,25969,1,1,8545,224213,0,72384,852,8354,37186,16.53,69591,44096,28662,64,28348,24807,0,22083,0,0,505,,8061.125,515912,152053796,0,7394,17627,12482,35.8,515912,0,63736,35983,8516
NY,36,13,15,2,125330,326416,27071,20527,1,1,3167,308535,0,30984,383,8955,36777,16.53,130678,30574,28662,7,17217,47813,0,24237,0,0,2492,,73773.42857,516414,152053796,0,4402,11603,15902,35.8,516414,838,57659,52413,15336
NY,36,13,16,2,109537,326416,252096,36827,1,0,3320,202238,0,84180,683,7251,15434,16.53,124533,36099,28662,8,23015,37167,0,10720,0,0,198,,64521.25,516170,152053796,0,5833,10257,22671,35.8,516170,0,36619,28376,5897
NY,36,13,17,2,130254,326416,82001,20832,1,0,4144,299529,0,36073,444,7193,27278,16.53,123983,37688,28662,13,23513,39784,0,20688,0,0,214,,39721.38462,516378,152053796,0,6982,10977,20144,35.8,516378,656,53020,43865,11676
NY,36,13,18,2,57899,326416,226417,32752,1,0,3647,161504,0,124860,504,7062,13447,16.53,71846,32189,28662,13,20788,30952,0,8448,0,0,461,,39836.84615,517879,152053796,0,4339,8992,21906,35.8,517879,0,28629,23576,5513
NY,36,13,19,2,144120,326416,67627,29479,1,1,9450,227881,0,59214,866,8531,21921,16.53,108236,40733,28662,32,27091,33774,0,18985,0,0,143,,16019.03125,512609,152053796,0,5111,13915,14547,35.8,512609,0,56173,42506,9576
NY,36,13,20,2,112607,326416,80257,24799,0,0,10200,262514,0,83701,2217,6246,20107,16.53,80353,38647,28662,171,27300,44767,0,27379,0,0,119,,3047.45614,521115,,0,5101,10137,10694,35.8,509825,0,65819,50351,14184
NY,36,13,21,2,84379,326416,33795,29058,0,0,11260,235417,0,107767,2398,9440,12312,16.53,39317,44537,28662,1154,23055,52244,0,24546,1,0,6252,1,447.830156,516796,,1546,12042,9302,13286,35.8,342351,1483,72070,41503,8896
NY,36,13,22,2,84519,326416,35225,26757,0,0,10626,245518,0,103813,2730,4574,14264,16.53,52851,47657,28662,1319,30668,43122,0,25590,0,0,175,,391.6906748,516640,,2353,12415,9577,12157,35.8,405484,0,67326,47295,11715
NY,36,13,23,2,119186,326416,27017,29851,0,0,8397,245270,0,79899,2008,8059,12508,16.53,30145,67106,28662,798,21736,37484,0,20347,2,0,434,,647.7982456,516943,,1530,37311,8430,14940,35.8,458590,618,68594,43879,8012
NY,36,13,24,2,99446,326416,7707,36575,0,0,11180,231077,0,110387,6640,5865,9682,16.53,20251,48338,28662,4810,22837,46397,0,19300,0,0,1637,,107.1891892,515580,,9371,19636,8444,18070,35.8,190216,0,70193,41397,7803
NY,36,13,25,2,109912,326416,9115,38073,0,0,8924,223789,0,101525,10469,6198,8878,16.53,19167,44405,28662,5301,22919,50525,0,17329,1,1,3792,,97.14506697,514966,,18824,15288,5679,17772,35.8,234812,0,64198,38298,6665
NY,36,13,26,3,100606,326416,3885,39026,0,0,8884,211243,0,108307,11333,5832,6042,1.17,18336,44104,28662,13410,23957,44916,1,16291,2,2,4573,,38.49336316,516196,,21628,14315,5591,23556,35.8,193456,0,62600,34808,5393
NY,36,13,27,3,89462,326416,30587,35447,0,0,9174,243290,0,98842,3267,6078,15966,1.17,26469,40304,28662,1339,23717,51496,0,20975,1,0,1192,,385.5287528,516223,,5222,10509,8577,17073,35.8,400167,334,65155,48093,12040
NY,36,13,28,2,101760,326416,14415,37481,0,0,9727,237900,0,96783,4234,3910,8908,16.53,29080,41315,28662,3542,23477,61580,0,18994,0,0,196,,145.9088086,516809,,6454,13928,6277,15632,35.8,269476,0,67253,42206,7295
NY,36,13,29,3,95195,326416,23295,42804,0,0,9213,236294,0,103168,6339,4507,9253,1.17,23060,38678,28662,3148,23091,68744,0,20491,1,0,894,1,163.9320203,516058,,12995,11080,5966,19788,35.8,265694,0,63684,37270,7045
NY,36,13,30,3,88723,326416,25280,43078,0,0,7855,251798,0,98203,3701,3936,10599,1.17,31034,30762,28662,1348,20465,86968,0,24034,0,0,173,1,383.4836795,516936,,5979,6361,5601,13710,35.8,373552,211,65523,45067,8020
NY,36,13,31,3,89509,326416,6337,36476,0,0,10461,237215,0,103047,5600,5485,11172,1.17,22213,42194,28662,2537,22340,52501,0,22506,0,0,165,,202.9566417,514901,,11121,14369,8592,17961,35.8,315870,1009,68565,47674,10080
NY,36,13,32,3,97731,326416,43967,49142,1,0,8255,243570,0,94559,3272,4768,8876,1.17,31544,35528,28662,1038,21879,74163,0,21004,1,0,521,,497.8680154,516787,,5703,8881,7238,20972,35.8,412447,0,68144,44936,7893
NY,36,13,33,3,113245,326416,98544,48323,1,0,5878,228989,0,81221,751,6876,10665,1.17,29087,37818,28662,138,20564,57429,0,17724,0,0,297,,3741.130435,516276,,20,10378,10325,26238,35.8,504820,737,65494,43378,8574
NY,36,13,34,3,107880,326416,7962,45486,0,0,8865,225809,0,105361,9544,4688,6260,1.17,12241,38567,28662,5813,23825,62761,0,17363,0,0,193,,89.01410631,517439,,19830,10054,6682,18807,35.8,224833,208,69202,39246,6971
PA,42,14,1,2,105294,98577,164894,37716,1,0,6317,194171,0,72513,464,10112,12065,16.53,38197,30848,34405,33,16298,38995,0,13104,3,1,3639,,15612.78788,515222,32690108,0,4438,8628,25639,27,515222,419,52915,31498,6755
PA,42,14,2,2,112087,98577,414005,35567,1,0,5482,213528,0,90845,492,14172,11861,16.53,18317,46595,34405,29,25830,31463,0,13800,0,0,429,,17828.10345,517015,32690108,0,6593,9977,30072,27,517015,0,56419,27688,5404
PA,42,14,3,2,130611,98577,38968,36473,1,0,8945,234261,0,48630,580,13194,16387,16.53,41577,37583,34405,50,20854,48774,0,20187,1,0,263,,10322.38,516119,32690108,0,3535,11200,19938,27,516119,0,72857,49199,11682
PA,42,14,4,4,98238,98577,13989,53133,0,0,10152,216465,0,98164,4338,5379,6767,21.93,11280,27769,34405,2672,14730,61206,0,20300,0,0,150,,192.9318862,515514,,8352,7660,10347,18220,27,217716,272,70432,37953,5955
PA,42,14,5,2,80664,98577,57483,44259,0,0,11522,250588,0,89841,4044,5951,14246,16.53,18113,30020,34405,700,17330,75757,0,23967,0,0,273,1,736.48,515536,27417581,3733,6739,8102,13292,27,362827,1044,70744,43681,11000
PA,42,14,6,2,122567,98577,8035,70947,0,0,11018,242299,0,85683,5067,4203,9305,16.53,11169,26890,34405,1838,15789,88803,0,18989,0,0,192,,280.7176279,515959,,11740,6898,7900,14881,27,277087,0,73353,40839,7699
PA,42,14,7,2,111637,98577,30343,28555,1,0,11419,244969,0,66035,1232,11638,19782,16.53,27415,31318,34405,140,15838,48852,0,23124,1,0,508,,3684.264286,515797,32690108,50,3842,12211,14118,27,513253,0,74902,48782,9966
PA,42,14,8,2,68248,98577,12195,42890,0,0,12928,255807,0,94719,2484,8146,14306,16.53,19752,29823,34405,626,16972,72317,0,24608,1,0,1138,,825.8482428,516981,,2750,4705,9268,13751,27,423792,0,74834,51388,11693
PA,42,14,9,2,103533,98577,4641,60445,0,0,11200,222230,0,101095,8596,12882,6371,16.53,5118,38334,34405,5584,16047,60198,0,17403,1,0,527,,92.31876791,515508,,19106,9405,13690,17927,27,154487,109,65472,35831,6058
PA,42,14,10,2,120468,98577,2154,54556,0,0,10608,223924,0,93675,7589,6501,7891,16.53,12840,32202,34405,7042,16627,61972,0,16905,1,0,270,,73.19483101,515438,,14618,9074,8730,19362,27,231987,0,71319,38299,7245
PA,42,14,11,2,134345,98577,2690,59865,0,0,11746,223779,0,81784,2495,7702,7967,16.53,12613,32507,34405,2523,15465,66376,0,16779,1,0,490,1,204.3892192,515674,,5208,9340,6959,19776,27,332703,648,75850,38901,6531
PA,42,14,12,4,101808,98577,6077,48201,0,0,9074,216038,0,94050,3106,3808,7690,21.93,9552,25954,34405,2290,15554,55918,0,19689,0,0,176,,225.2598253,515845,,5540,6592,8948,19907,27,279279,0,72666,39200,6935
PA,42,14,13,2,119075,98577,32501,29299,1,0,10549,258494,0,64505,1555,6649,18578,16.53,33859,29544,34405,239,18282,57412,0,26012,1,1,577,,2152.242678,514386,32690108,426,4613,7074,12282,27,494664,0,73355,52250,13366
PA,42,14,14,4,134275,98577,112296,34203,1,0,10368,231676,0,61824,838,8101,13309,21.93,26175,33737,34405,79,19724,34278,0,17828,1,0,231,,6539.607595,516629,28551728,0,5912,11337,20495,27,516629,1379,70910,45521,9130
PA,42,14,15,2,105147,98577,8007,64243,0,0,10395,248662,0,86876,2564,3146,9723,16.53,21220,23484,34405,921,16399,95055,0,21537,0,0,196,,559.4994571,515299,,4558,3939,7896,13206,27,379209,0,73609,42369,7697
PA,42,14,16,2,95373,98577,10513,62523,0,0,13265,251237,0,91347,10862,5118,8710,16.53,10030,26552,34405,1551,14998,83208,0,20608,1,0,375,,331.7762734,514585,,28265,6436,8473,10894,27,254614,825,61916,46013,10435
PA,42,14,17,2,101752,98577,34122,54994,0,0,10741,241497,0,94285,4954,10300,11082,16.53,8579,46523,34405,3366,15657,59227,0,18846,0,0,375,1,153.2703506,515908,,13244,20566,11911,16281,27,278544,0,68269,42320,8415
PA,42,14,18,4,95086,98577,11965,28366,0,0,13959,247680,0,91155,915,6311,17541,21.93,16718,27901,34405,357,17777,46985,0,25677,0,0,336,,1445.686275,516110,,424,3813,12352,13037,27,488815,0,79783,53846,13864
