STATE,SC,CD,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,DC,EMPLYD,ENROLL,FARMER,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NJ,12,10,20710.51,47115.48,1,0,4896.07,0,112127.82,51416.33,206.63,79.74,3975.63,958,44,38149.36,6662.245455,293138.8,,216.62,9294.01,21630.29,17.1,288127.75,0,,17891.83
NJ,12,11,24071.6,44646,1,0,4998.35,0,111949.95,51075.85,217,78.75,3974.25,958,32,37071.65,9158.40625,293069,,270.55,7915.25,20895.7,17.1,287060.9,0,,19423.25
NJ,12,12,25447.12,47197.2,1,1,5283.97,0,118347.09,53994.47,229.4,83.25,4201.35,958,64,39190.03,4840.871875,309815.8,,286.01,8367.55,22089.74,17.1,303464.38,0,,20533.15
NJ,12,13,6781.74,53193.84,1,1,4187.82,0,105316.68,49259.7,154.14,78.12,3715.74,958,18,39629.52,15214.26667,273856.8,,0.84,13821.78,22930.74,17.1,272902.14,0,,10981.74
NJ,12,14,6781.74,53193.84,1,1,4187.82,0,105316.68,49259.7,154.14,78.12,3715.74,958,12,39629.52,22821.4,273856.8,,0.84,13821.78,22930.74,17.1,272902.14,0,,10981.74
NY,13,0,571221,1868986,0,0,,0,4974518,2317037,202955,4813,,2343,47929,,281.2314465,13479142,,715812,,987681,24.7,11165893,0,414033,859957
NY,13,1,11081.68,28847.98,0,0,8013.86,0,86356.68,47213.02,5945.14,106.02,4408.86,2343,1072,10158.8,252.3970522,270569.64,,20938.42,6809.82,13780.02,24.7,69659,2794,,10616.08
NY,13,2,10845.32,35105.02,0,1,9985.14,0,119905.32,65754.98,2150.86,113.98,6377.14,2343,150,17392.2,2223.555733,333533.36,,3131.58,11315.18,16308.98,24.7,160515,0,,13739.92
NY,13,3,6472.5,46333.75,1,1,7331.5,0,125390.5,54336.5,158.25,124.75,7372.25,2343,27,32390.5,12015.12963,324408.5,128581981,0,13790.5,20733.25,24.7,324408.5,0,,11614
NY,13,4,6472.5,46333.75,1,1,7331.5,0,125390.5,54336.5,158.25,124.75,7372.25,2343,27,32390.5,12015.12963,324408.5,128581981,0,13790.5,20733.25,24.7,324408.5,0,,11614
NY,13,5,6472.5,46333.75,1,1,7331.5,0,125390.5,54336.5,158.25,124.75,7372.25,2343,27,32390.5,12015.12963,324408.5,128581981,0,13790.5,20733.25,24.7,324408.5,0,,11614
NY,13,6,6472.5,46333.75,1,1,7331.5,0,125390.5,54336.5,158.25,124.75,7372.25,2343,27,32390.5,12015.12963,324408.5,128581981,0,13790.5,20733.25,24.7,324408.5,0,,11614
NY,13,7,11798.93,44663.52,1,1,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,8,11798.93,44663.52,1,1,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,9,11798.93,44663.52,1,1,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,10,11798.93,44663.52,1,0,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,11,11798.93,44663.52,1,0,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,12,11798.93,44663.52,1,1,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,13,11798.93,44663.52,1,1,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,14,11798.93,44663.52,1,1,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,0,,9572.2
NY,13,15,11798.93,44663.52,1,1,5101.03,0,108283.56,53158.05,33,141.02,4463.03,2343,8,34730.96,37101.41875,296811.35,128581981,0,9349.23,23616.56,24.7,296811.35,400,,9572.2
NY,13,16,15331.6,31097.56,1,1,4380.16,0,90484.56,43999.28,275.12,115.8,7925.24,2343,60,19357.52,4167.299333,250037.96,128581981,0,10004.36,22830.24,24.7,250037.96,1500,,20931.08
NY,13,17,47738.4,33974.24,1,1,3832.64,0,125370.24,39893.12,36.48,211.2,3964.96,2343,3,23530.08,100795.9467,302387.84,128581981,0,9277.44,33596.96,24.7,302387.84,0,,64804.32
NY,13,18,47738.4,33974.24,1,1,3832.64,0,125370.24,39893.12,36.48,211.2,3964.96,2343,3,23530.08,100795.9467,302387.84,128581981,0,9277.44,33596.96,24.7,302387.84,0,,64804.32
NY,13,19,47738.4,33974.24,1,1,3832.64,0,125370.24,39893.12,36.48,211.2,3964.96,2343,3,23530.08,100795.9467,302387.84,128581981,0,9277.44,33596.96,24.7,302387.84,0,,64804.32
NY,13,20,47738.4,33974.24,1,1,3832.64,0,125370.24,39893.12,36.48,211.2,3964.96,2343,3,23530.08,100795.9467,302387.84,128581981,0,9277.44,33596.96,24.7,302387.84,0,,64804.32
NY,13,21,47738.4,33974.24,1,1,3832.64,0,125370.24,39893.12,36.48,211.2,3964.96,2343,3,23530.08,100795.9467,302387.84,128581981,0,9277.44,33596.96,24.7,302387.84,0,,64804.32
NY,13,22,47738.4,33974.24,1,1,3832.64,0,125370.24,39893.12,36.48,211.2,3964.96,2343,3,23530.08,100795.9467,302387.84,128581981,0,9277.44,33596.96,24.7,302387.84,0,,64804.32
NY,13,23,5882.25,49347.5,1,1,7131,0,127675.5,60570.5,37.75,129.5,6239,2343,10,35157.5,34867.775,348677.75,128581981,0,11398,28338.25,24.7,348677.75,0,,8501.25
NY,13,24,5882.25,49347.5,1,1,7131,0,127675.5,60570.5,37.75,129.5,6239,2343,10,35157.5,34867.775,348677.75,128581981,0,11398,28338.25,24.7,348677.75,1665,,8501.25
NY,13,25,5882.25,49347.5,1,1,7131,0,127675.5,60570.5,37.75,129.5,6239,2343,10,35157.5,34867.775,348677.75,128581981,0,11398,28338.25,24.7,348677.75,0,,8501.25
NY,13,26,5882.25,49347.5,1,1,7131,0,127675.5,60570.5,37.75,129.5,6239,2343,10,35157.5,34867.775,348677.75,128581981,0,11398,28338.25,24.7,348677.75,0,,8501.25
NY,13,27,15504.54,33870.03,0,0,8238.5,0,110100.23,56168.07,1509.84,112.33,5186.73,2343,452,19209.87,658.4035841,297598.42,,4846.63,8441.99,18503.02,24.7,235161.29,0,,13759.86
NY,13,28,15986.46,32969.97,0,0,7471.5,0,108694.77,55356.93,875.16,110.67,5190.27,2343,217,19718.13,1347.993456,292514.58,,2237.37,8135.01,18052.98,24.7,244759.71,0,,13777.14
NY,13,29,7739,36398,0,1,6733,0,100202,49969,15008,47,5525,2343,3463,19263,84.68495524,293264,,49816,8140,15306,24.7,113078,0,,11034
NY,13,30,8426,38206,0,0,8113,0,99728,49378,17049,69,3242,2343,3880,21175,76.74252577,297761,,56650,6453,16315,24.7,112545,0,,10490
NY,13,31,1297,49307,0,0,4026,0,106461,46956,9948,53,3391,2343,3875,45992,72.38787097,280503,,34647,5415,18244,24.7,182668,0,,12579
NY,13,32,3632.7,38813.4,0,0,4799.2,0,98824,43405.2,3795.6,30.1,9967.3,2343,861,22641.7,299.4950058,257865.2,,13766.3,12893.7,17045.1,24.7,198239.3,0,,18456.3
NY,13,33,2568.3,44081.6,0,0,5394.8,0,109462,58547.8,15013.4,36.9,6799.7,2343,5749,29189.3,55.98100539,321834.8,,57711.7,7675.3,21402.9,24.7,161099.7,0,,11840.7
NY,13,34,244,24586,0,1,3179,0,79028,47777,19972,16,3425,2343,7043,15646,34.38903876,242202,,67622,4356,12412,24.7,100627,0,,8747
NY,13,35,1006,43516,0,1,3894,0,97545,49326,10838,21,3286,2343,2195,35531,125.2441913,274911,,39616,5979,16012,24.7,180627,0,,11913
NY,13,36,2278,43132,1,0,3757,0,105766,54485,5386,48,3946,2343,792,34413,372.6111111,295108,,21502,8853,18274,24.7,225028,0,,18336
NY,13,37,1175,53950,0,0,4527,0,115156,55444,14876,49,2999,2343,3721,46679,80.98038162,301328,,51557,5607,14033,24.7,175670,0,,13210
NY,13,38,1458,31469,0,1,3654,0,87797,42151,21388,28,2507,2343,3131,23640,79.63685723,249343,,71596,4609,10656,24.7,110426,1745,,10976
NY,13,39,2429,31389,0,0,4055,0,82842,43598,12940,22,2687,2343,3167,20839,76.10862015,241036,,51281,7691,10867,24.7,124773,414,,10844
NY,13,40,2788.5,60099,1,1,5649.54,0,129980.76,57653.7,4233.84,68.64,4406.22,2343,336,53637.48,1017.319643,341819.4,,15748.2,8001.24,20425.08,24.7,283355.28,0,,20695.74
NY,13,41,2165.5,33637,1,1,3535.46,0,85256.24,42280.3,14788.16,35.36,2764.78,2343,2469,26511.52,96.62033212,238555.6,,49379.8,5043.76,12308.92,24.7,128659.72,294,,10525.26
NY,13,42,5211.6,53592.4,1,1,3991,0,113760.4,60753.4,5974.8,47.8,4391,2343,796,47653.6,401.7404523,319785.4,,24059.4,9048.2,20366.8,24.7,256035.6,0,,15757.8
NY,13,43,7971.2,48918.8,1,1,4282,0,107904.8,59444.8,2645.6,43.6,4174,2343,263,38223.2,1214.261597,319350.8,,12450.8,10898.4,25347.6,24.7,266747.2,0,,17869.6
NY,13,44,7971.2,48918.8,1,1,4282,0,107904.8,59444.8,2645.6,43.6,4174,2343,790,38223.2,404.241519,319350.8,,12450.8,10898.4,25347.6,24.7,266747.2,0,,17869.6
NY,13,45,998,34479,0,1,3198,0,82477,45689,14394,29,2056,2343,3463,25207,68.12388103,235913,,54804,5000,11279,24.7,114477,0,,9682
PA,14,0,470172,1611194,0,0,,0,3230167,1926174,187537,1052,,3401,45045,,219.7842158,9900180,,905168,,755833,29,6586877,0,281232,446762
PA,14,1,41896.96,53763.646,1,0,5635.749,0,117517.566,54862.339,132.932,46.426,4774.697,3401,23,41467.269,14023.16426,322532.778,34887488,0,8572.277,28797.48,29,322532.778,0,,22208.996
PA,14,2,41896.96,53763.646,1,0,5635.749,0,117517.566,54862.339,132.932,46.426,4774.697,3401,23,41467.269,14023.16426,322532.778,34887488,0,8572.277,28797.48,29,322532.778,0,,22208.996
PA,14,3,41896.96,53763.646,1,0,5635.749,0,117517.566,54862.339,132.932,46.426,4774.697,3401,23,41467.269,14023.16426,322532.778,34887488,0,8572.277,28797.48,29,322532.778,0,,22208.996
PA,14,4,41896.96,53763.646,1,0,5635.749,0,117517.566,54862.339,132.932,46.426,4774.697,3401,23,41467.269,14023.16426,322532.778,34887488,0,8572.277,28797.48,29,322532.778,0,,22208.996
PA,14,5,41896.96,53763.646,1,0,5635.749,0,117517.566,54862.339,132.932,46.426,4774.697,3401,23,41467.269,14023.16426,322532.778,34887488,0,8572.277,28797.48,29,322532.778,0,,22208.996
