STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NM,66,2,12,33064,470,8408,70284,0,0,23380,218276,0,140310,37092,4550,0,15704,32103,14651141,121511,12146,0,2587,7,4,11624,6,681187,0,131823,16983,11732,14,341889,493,96000,43188
UT,67,0,,,,2729,86480,,,2296,241487,,143495,27727,528,,,38239,24984058,82346,6170,,3130,,,1567,8,688862,,,1771,12621,27,,,,4599
UT,67,1,14,17444,746,1258,31840,0,0,5370,95863,0,65270,20957,1531,1,9166,17098,24984058,72405,6319,0,2844,1,0,226,4,286552,0,57238,8608,5072,27,130025,0,100000,16002
UT,67,2,15,24974,746,1471,54640,0,0,9339,145624,0,78225,6770,5260,0,20325,21141,24984058,9941,15443,0,2808,6,2,1341,40,402310,0,23382,11541,7549,27,319830,696,,29989
WY,68,0,,,,2557,37735,,,,112666,,51970,21662,,,,14695,19398526,97506,,,,,,6879,3,290529,,,,4830,28,,,,
WY,68,1,10,18165,334,2557,37735,0,0,9087,112666,0,51970,21662,2325,1,13167,14695,19398526,97506,6488,0,3482,1,1,6879,3,290529,0,178581,13916,4830,28,144618,858,40000,20046
CA,71,0,,,,462172,1412071,,,,4237703,,1601955,264021,,,,491303,21496568,156740,,,,,,173235,68,10586223,,,,335425,37,,,,
CA,71,1,16,35183,17766,4400,47479,0,1,10657,133746,0,57000,16574,4195,1,33805,16319,21496568,12232,25574,0,3500,5,4,4846,30,365281,0,157542,8627,6457,37,159695,0,1832000,27864
CA,71,2,16,30641,17766,3268,49695,0,0,9520,126497,0,58205,15281,2232,1,18848,16704,21496568,53442,21702,0,3217,1,0,143,6,329060,0,191378,13124,10601,37,90468,0,,22930
CA,71,3,16,30567,17766,8351,48267,0,0,12413,160450,0,63680,19488,5020,1,32093,33031,21496568,5734,13333,0,3641,4,3,4374,69,395538,0,92184,14655,12645,37,259031,0,,31996
CA,71,4,16,37217,17766,21751,51339,1,1,9344,179530,0,42303,382,13497,1,65398,21919,21496568,23,27932,0,3923,5,4,10419,16856,387679,0,0,19275,14222,37,387679,0,,44138
CA,71,5,16,37217,17766,21751,51339,1,1,9344,179530,0,42303,382,13497,1,65398,21919,21496568,23,27932,0,3923,3,2,10419,16856,387679,0,0,19275,14222,37,387679,0,,44138
CA,71,6,16,17301,17766,28627,59324,1,1,11264,142437,0,66925,5752,4445,1,26188,25287,21496568,1561,39674,1,3766,7,1,27495,259,403817,0,90998,10420,12579,37,297692,0,,26091
CA,71,7,16,31834,17766,34721,51998,0,1,9882,156091,0,51113,2134,7477,1,36182,23865,21496568,367,28558,0,3870,0,0,4506,1009,370158,0,3798,15317,13615,37,350539,0,,31768
CA,71,8,16,31834,17766,34721,51998,0,1,9882,156091,0,51113,2134,7477,1,36182,23865,21496568,367,28558,0,3870,4,1,4506,1009,370158,0,3798,15317,13615,37,350539,0,,31768
CA,71,9,16,14754,17766,2395,30247,0,1,8826,93277,0,35330,1926,5413,1,24714,9215,21496568,454,16760,0,4467,0,0,1314,519,235659,0,14627,11787,3120,37,219387,712,,22767
CA,71,10,16,36952,17766,1947,45675,0,1,12176,141739,0,57470,15620,4817,1,41223,13323,21496568,3140,22075,0,3546,1,0,2319,118,371451,0,68935,8779,12089,37,263964,1401,,31681
CA,71,11,16,26290,17766,8189,36253,0,0,7881,129528,0,56665,26206,2808,1,32806,14888,21496568,2916,14966,0,3180,1,0,321,112,327981,0,83790,8850,14701,37,191206,440,,25662
CA,71,12,16,25224,17766,16806,36683,0,0,10625,140074,0,73565,32642,3424,1,34363,13223,21496568,10116,11104,0,3084,1,1,3009,38,383259,0,104187,8801,14663,37,191788,249,,29453
CA,71,13,16,29194,17766,6624,46806,0,1,11592,152510,0,62765,24610,3848,1,39153,19352,21496568,11252,8821,0,3469,8,2,14986,35,394782,0,127587,7901,12274,37,222807,0,,35704
CA,71,14,16,23688,17766,17229,43884,0,0,9600,157268,0,86205,34226,2809,1,21138,17259,21496568,14410,10137,0,3182,2,1,2784,29,424341,0,149772,9111,20455,37,200447,0,,29763
CA,71,15,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,16,16,31358,17766,18084,50642,1,1,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,17,16,31358,17766,18084,50642,1,1,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,18,16,31358,17766,18084,50642,1,1,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,1600,,30937
CA,71,19,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,20,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,21,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,22,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,23,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,24,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,25,16,31358,17766,18084,50642,1,0,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,26,16,31358,17766,18084,50642,1,1,9999,144858,0,49321,1915,6949,1,35006,13242,21496568,339,34008,0,3668,0,0,1007,1016,344590,19263958,1782,9828,10636,37,335975,0,,30937
CA,71,27,16,24546,17766,7048,38282,0,0,8146,98684,0,49150,9018,2649,1,20013,12997,21496568,20131,14411,0,3125,0,0,3970,14,281642,0,77957,10647,6742,37,187056,0,,22615
CA,71,28,16,43525,17766,9404,58749,1,1,14279,169379,0,73258,12257,6274,1,18839,23686,21496568,2379,24372,0,3388,5,3,33098,208,494628,0,26306,8913,11679,37,403412,0,,36693
CA,71,29,16,19320,17766,8544,23124,0,0,5939,84684,0,41320,17570,2181,1,21723,9225,21496568,11463,5998,0,2815,6,1,4879,20,233021,0,73612,5957,7104,37,128908,0,,19195
CA,71,30,16,22551,17766,8515,30781,1,1,6843,90915,0,39358,4753,3635,1,18839,15690,21496568,2661,11953,0,3456,3,1,27713,105,278404,0,12045,4924,6500,37,257245,0,,19691
OR,72,0,,,,11529,224765,,,,616733,,253185,67460,,,,60589,15630637,96315,,,,,,2862,16,1521341,,,,40223,44,,,,
OR,72,1,17,38938,1765,507,61683,0,1,11454,169143,0,76005,27054,4151,1,23210,19441,15630637,9461,37928,0,3156,8,5,1912,46,434414,0,97624,9229,10137,44,165275,0,242000,29721
OR,72,2,17,18259,1765,762,33636,0,0,7784,100193,0,44695,23212,1774,1,8637,10334,15630637,66826,15634,0,3286,1,0,96,4,247383,0,61101,7812,5364,44,100867,0,,17996
OR,72,3,17,48539,1765,9857,66457,1,0,14314,206390,0,65660,2995,10624,1,40676,19387,15630637,424,33429,0,3651,1,0,583,1112,471537,0,6277,23305,16429,44,425968,542,,55060
OR,72,4,17,27285,1765,403,62989,0,1,9375,141007,0,66825,14199,3024,1,10925,11427,15630637,19604,43618,0,3315,1,0,271,19,368007,0,63233,9259,8293,44,127208,660,,26390
WA,73,0,,,,30691,326815,,,,900746,,376940,75241,,,,114719,1595975,66786,,,,,,56865,36,2378963,,,,60684,54,,,,
WA,73,1,17,54887,2260,13414,86180,1,0,16151,249698,0,86752,4709,12770,1,64452,37315,1595975,669,50980,0,3843,0,0,11188,924,618138,0,21681,23481,18330,54,502102,300,349000,54209
WA,73,2,17,29131,2260,651,40050,0,1,6741,99835,0,49079,12328,2270,1,26388,10334,1595975,10195,23332,0,3015,6,2,4593,28,281254,0,54996,6741,6614,54,121921,0,,17708
WA,73,3,17,28059,2260,1237,55646,0,1,7520,120660,0,58080,9879,2345,1,20831,14288,1595975,10685,39340,0,3304,0,0,960,30,321162,0,54654,8064,7229,54,147532,525,,20614
WA,73,4,17,25839,2260,3656,41347,0,0,16642,136292,0,63320,27476,2687,1,16114,16159,1595975,21742,15316,0,3402,3,2,1670,16,357416,0,70733,9854,9933,54,181061,0,,24117
WA,73,5,17,33269,2260,1538,42496,0,0,10319,129877,0,56770,16272,4726,1,20900,14024,1595975,20218,16792,0,3441,5,3,3670,17,341869,0,51464,13214,7687,54,208481,132,,29204
WA,73,6,17,40125,2260,10194,61096,0,0,11576,164384,0,62939,4578,7264,1,42794,22599,1595975,3538,32670,0,3552,14,5,34784,130,459124,0,20243,15532,10890,54,342424,904,,34670
WA,73,99,,,2260,30691,326815,0,0,,900746,0,376940,75241,,1,191479,114719,1595975,66786,,0,3422,4,3,56865,36,2378963,0,,,60684,54,,310,,
