STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NY,13,2,0,2,21618,83168,14302,44002,0,1,10271,128226,0,86641,329,1.17290196,30068,16531,5276,174,36524,0,7654,0,0,450,0,2141.637931,372645,0,1571,5992,4274,39,331938,2321,-6,21212
NY,13,3,0,2,24241,83168,12721,38680,0,1,9090,152970,0,98438,351,1.17290196,42323,16768,5276,141,38289,1,9077,1,0,489,0,2830.262411,399067,0,59,5447,3117,39,395274,0,-6,28577
NY,13,4,0,2,20807,83168,11895,42417,0,0,8660,142224,0,100294,113,1.17290196,33438,18477,5276,52,36545,0,8081,3,1,2507,0,7573.288462,393811,0,0,6761,3607,39,393811,0,-6,29958
NY,13,5,0,2,31613,83168,14196,38765,0,1,9744,155126,0,92991,176,1.17290196,38875,18746,5276,83,33068,0,8516,0,0,520,0,4857.566265,403178,0,0,6773,4164,39,403178,0,-6,32864
NY,13,6,0,2,42863,83168,4821,45277,1,0,7495,179842,0,77595,75,1.17290196,67359,21451,5276,27,43082,0,7830,0,0,251,0,15458.03704,417367,153854782,0,9857,5442,39,417367,0,617738,36640
NY,13,7,0,2,44499,83168,95808,76709,1,0,8900,201958,0,84490,68,1.17290196,64229,27061,5276,36,55486,0,6690,0,0,1092,0,12773.44444,459844,153854782,0,14540,7127,39,459844,0,-6,32783
NY,13,8,0,2,34089,83168,26133,48598,1,0,7781,197017,0,77467,37,1.17290196,84416,20879,5276,23,51379,0,7812,1,1,530,0,18816.34783,432776,153854782,0,9327,6295,39,432776,0,-6,42724
NY,13,9,0,2,45537,83168,11117,63156,1,1,8522,210752,0,63864,20,1.17290196,109005,19171,5276,16,55108,0,6713,1,0,503,0,26793.75,428700,153854782,0,14538,7555,39,428700,0,-6,39969
NY,13,10,0,2,35938,83168,130836,62264,1,1,6983,171843,0,79816,44,1.17290196,75788,16808,5276,25,47289,0,5508,3,1,903,0,16909.8,422745,153854782,0,8434,9910,39,422745,0,-6,31779
NY,13,11,0,2,36968,83168,96825,68874,1,0,6832,158167,0,79185,28,1.17290196,67509,15504,5276,11,52209,0,5224,0,0,210,0,36708.18182,403790,153854782,0,9186,10040,39,403790,0,-6,23979
