STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NJ,12,13,2,24424,12553,34588,44265,1,1,3479,109856,0,48106,36,1.17290196,29295,12144,973,15,37036,0,6138,1,0,713,0,17131.8,256977,0,0,9218,5830,32,256977,0,879723,15806
NJ,12,14,2,28108,12553,6462,50354,1,1,4092,112455,0,43202,32,1.17290196,42714,8521,973,15,40588,0,5907,0,0,96,0,17011,255165,0,0,11926,7021,32,255165,0,879723,16167
NJ,12,15,2,28534,12553,16489,74546,0,1,9231,170826,0,91776,482,1.17290196,42221,16224,973,312,72104,0,7054,0,0,828,0,1390.6,433856,0,2283,6741,7147,32,394155,0,879723,25765
NY,13,0,,1687590,102369,1417511,2248981,0,0,321894,6958335,0,3222833,58651,,2289314,772247,2744,47939,1886379,0,6371,0,0,41115,,350.1,16782304,0,324746,316651,358873,39,14333225,0,2279781,1202643
NY,13,1,2,39382,102369,19069,47867,0,1,12646,131049,0,80898,1380,1.17290196,37769,22305,2744,772,27220,0,6420,3,1,1852,0,515.9,398254,0,3882,4738,6075,39,253922,0,2279781,21015
NY,13,2,2,21618,102369,14302,44002,0,1,10271,128226,0,86641,329,1.17290196,30068,16531,2744,174,36524,0,7654,0,0,450,0,2141.6,372645,0,1571,5992,4274,39,331938,2321,2279781,21212
NY,13,3,2,24241,102369,12721,38680,0,1,9090,152970,0,98438,351,1.17290196,42323,16768,2744,141,38289,1,9077,1,0,489,0,2830.3,399067,0,59,5447,3117,39,395274,0,2279781,28577
NY,13,4,2,20807,102369,11895,42417,0,0,8660,142224,0,100294,113,1.17290196,33438,18477,2744,52,36545,0,8081,3,1,2507,0,7573.3,393811,0,0,6761,3607,39,393811,0,2279781,29958
NY,13,5,2,31613,102369,14196,38765,0,1,9744,155126,0,92991,176,1.17290196,38875,18746,2744,83,33068,0,8516,0,0,520,0,4857.6,403178,0,0,6773,4164,39,403178,0,2279781,32864
NY,13,6,2,42863,102369,4821,45277,1,0,7495,179842,0,77595,75,1.17290196,67359,21451,2744,27,43082,0,7830,0,0,251,0,15458,417367,153854782,0,9857,5442,39,417367,0,2279781,36640
NY,13,7,2,44499,102369,95808,76709,1,0,8900,201958,0,84490,68,1.17290196,64229,27061,2744,36,55486,0,6690,0,0,1092,0,12773.4,459844,153854782,0,14540,7127,39,459844,0,2279781,32783
NY,13,8,2,34089,102369,26133,48598,1,0,7781,197017,0,77467,37,1.17290196,84416,20879,2744,23,51379,0,7812,1,1,530,0,18816.3,432776,153854782,0,9327,6295,39,432776,0,2279781,42724
NY,13,9,2,45537,102369,11117,63156,1,1,8522,210752,0,63864,20,1.17290196,109005,19171,2744,16,55108,0,6713,1,0,503,0,26793.8,428700,153854782,0,14538,7555,39,428700,0,2279781,39969
NY,13,10,2,35938,102369,130836,62264,1,1,6983,171843,0,79816,44,1.17290196,75788,16808,2744,25,47289,0,5508,3,1,903,0,16909.8,422745,153854782,0,8434,9910,39,422745,0,2279781,31779
NY,13,11,2,36968,102369,96825,68874,1,0,6832,158167,0,79185,28,1.17290196,67509,15504,2744,11,52209,0,5224,0,0,210,0,36708.2,403790,153854782,0,9186,10040,39,403790,0,2279781,23979
NY,13,12,2,53560,102369,74657,58260,1,0,6604,216632,0,72859,28,1.17290196,106747,25576,2744,9,51210,0,6311,0,0,268,0,52333.4,471001,153854782,0,10451,10039,39,471001,0,2279781,42163
NY,13,13,2,49308,102369,5569,61514,1,1,7416,189032,0,79558,22,1.17290196,108094,19226,2744,13,53276,0,6327,0,0,239,0,35013.2,455172,153854782,0,9886,8673,39,455172,0,2279781,42150
NY,13,14,2,36973,102369,59713,84491,1,1,5401,178585,0,94201,5,1.17290196,78076,14290,2744,13,65454,0,4871,3,1,4277,0,35689,463957,153854782,0,13651,13042,39,463957,0,2279781,23439
NY,13,15,2,40347,102369,10964,49436,1,1,7327,161714,0,53253,37,1.17290196,71725,16726,2744,10,37652,0,6501,1,1,1395,0,35063.5,350635,153854782,0,11580,7437,39,350635,0,2279781,24679
NY,13,16,2,33637,102369,10491,41604,1,1,6810,141520,0,70374,63,1.17290196,44334,24564,2744,66,28114,0,6955,2,1,1540,0,5347,352901,153854782,0,10294,5249,39,352901,0,2279781,22233
NY,13,17,2,61019,102369,6182,23114,1,1,3779,228875,0,30860,20,1.17290196,95896,14427,2744,6,37116,0,8649,1,0,195,0,63720,382320,153854782,0,7536,10451,39,382320,0,2279781,35566
NY,13,18,2,32343,102369,288458,63318,1,1,5398,190321,0,78109,30,1.17290196,36826,18445,2744,4,41708,0,3993,0,0,254,0,7832.5,431330,153854782,0,9904,14379,39,431330,0,2279781,26828
NY,13,19,2,56595,102369,31392,59095,1,1,4985,219605,0,64165,16,1.17290196,114844,13049,2744,7,50532,0,4821,1,1,635,0,63596.4,445175,153854782,0,11897,19089,39,445175,0,2279781,40873
NY,13,20,2,57744,102369,71071,52515,1,1,4273,223728,0,55796,15,1.17290196,127132,17405,2744,5,47405,0,5713,0,0,242,0,87891.2,439456,153854782,0,9873,13376,39,439456,0,2279781,43031
NY,13,21,2,40223,102369,44326,51507,1,1,5515,158335,0,62235,25,1.17290196,83679,14497,2744,5,40507,0,5441,0,0,183,0,72213.8,361069,153854782,0,8462,9276,39,361069,0,2279781,31665
NY,13,22,2,28529,102369,89817,59883,1,0,4595,151193,0,66786,4,1.17290196,59593,14166,2744,7,45110,0,4847,0,0,228,0,51393,359751,153854782,0,7931,10825,39,359751,0,2279781,25057
NY,13,23,2,44721,102369,15666,42274,1,1,6295,156091,0,56594,28,1.17290196,92485,17980,2744,11,34406,0,6394,0,0,140,0,32164.5,353809,153854782,0,7889,6493,39,353809,1307,2279781,31661
NY,13,24,2,38931,102369,14087,51297,1,1,9426,152361,0,60950,31,1.17290196,70953,20139,2744,20,33310,0,6734,1,1,143,0,17509.3,350186,153854782,0,8957,5325,39,350186,0,2279781,28574
NY,13,25,2,46304,102369,18666,48966,0,0,11550,182059,0,86800,265,1.17290196,54510,18694,2744,370,41167,0,7798,0,0,184,1,1184.9,438409,0,714,7644,5762,39,399110,1884,2279781,32209
NY,13,26,2,37591,102369,38864,38605,0,1,10294,170794,0,82100,341,1.17290196,52939,15371,2744,300,33166,0,8226,0,0,677,0,1340.7,402204,0,841,4675,5458,39,353486,0,2279781,31747
NY,13,27,2,37454,102369,21591,53815,0,0,11264,152479,0,84714,4681,1.17290196,34085,22551,2744,3463,34938,0,6077,2,1,6574,0,118.2,409349,0,21395,5187,8163,39,216007,0,2279781,23981
NY,13,28,2,48672,102369,16581,53279,0,0,9580,149724,0,73712,4204,1.17290196,31672,20989,2744,3880,43177,0,5838,0,0,150,0,102.1,396122,0,23762,4301,7841,39,146712,256,2279781,21785
NY,13,29,2,50703,102369,14853,54841,0,0,9556,183353,0,88397,882,1.17290196,34336,33843,2744,744,46650,0,6254,2,0,371,0,608.6,452826,0,4660,6993,10343,39,387403,1005,2279781,31015
NY,13,30,2,50299,102369,5427,66618,0,0,9420,171675,0,98802,4384,1.17290196,21369,23358,2744,8324,51224,1,5483,1,1,5673,0,55.4,460748,0,26289,5346,12685,39,213462,0,2279781,26942
NY,13,31,3,38607,102369,594,44986,0,1,6854,126600,0,80107,7351,0.00036324,18331,16688,2744,8006,30243,0,5273,0,0,552,1,44.1,353183,0,42671,3168,12775,39,145489,421,2279781,19625
NY,13,32,2,42822,102369,5180,52697,0,0,6489,147803,0,80643,4422,1.17290196,26970,24475,2744,3330,44690,0,5937,2,1,2565,0,115.7,385406,0,22384,3940,10259,39,257888,0,2279781,21388
NY,13,33,2,40730,102369,5280,61630,0,0,7343,165210,0,86672,2648,1.17290196,21487,19205,2744,2138,61661,0,6148,0,0,204,0,194.3,415333,0,16842,4368,7286,39,274965,0,2279781,24207
