,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR
11,1.0,52591.0,18524.0,5476.0,52757.0,4.0,0.0,0.0,9107.0,203667.0,0.0,103945.0,727.0,5642.0,18526.0,25.0,1.40810656,50260.0,27630.0,27131.0,391.0,16683.0,53200.0,0.0,12409.0,1.0,1.0,10120.0,,1217.723785,476130.0,0.0,923.0,3.0,MA,5305.0,3627.0,6326.0,27.2,421699.0,0.0,55167.0,40894.0,1978-MA-4,1978
12,1.0,43683.0,18524.0,2491.0,67929.0,5.0,0.0,0.0,10061.0,194162.0,0.0,121522.0,1006.0,9725.0,13348.0,25.0,1.40810656,35041.0,28427.0,27131.0,481.0,14312.0,66960.0,0.0,11532.0,1.0,1.0,1431.0,,983.6881497000002,473154.0,0.0,1711.0,3.0,MA,4390.0,4450.0,7462.0,27.2,395096.0,861.0,56584.0,34166.0,1978-MA-5,1978
13,1.0,56743.0,18524.0,3656.0,68042.0,6.0,0.0,1.0,9259.0,198887.0,0.0,111135.0,745.0,6148.0,14421.0,25.0,1.40810656,33933.0,27058.0,27131.0,413.0,16384.0,63952.0,0.0,10904.0,0.0,0.0,951.0,,1152.263923,475885.0,0.0,914.0,3.0,MA,4526.0,4948.0,7746.0,27.2,421590.0,0.0,60369.0,40129.0,1978-MA-6,1978
14,1.0,53107.0,18524.0,4333.0,63106.0,7.0,1.0,1.0,11318.0,203035.0,0.0,110756.0,447.0,9138.0,22166.0,25.0,1.40810656,41481.0,29248.0,27131.0,97.0,14730.0,49971.0,0.0,11406.0,0.0,0.0,1329.0,,4913.0412369999995,476565.0,24719452.0,35.0,3.0,MA,5380.0,8175.0,7263.0,27.2,474690.0,0.0,61868.0,42570.0,1978-MA-7,1978
15,1.0,60683.0,18524.0,11112.0,52957.0,8.0,1.0,1.0,8142.0,224148.0,0.0,75665.0,155.0,8385.0,26364.0,25.0,1.40810656,67824.0,32829.0,27131.0,40.0,17174.0,40072.0,0.0,10317.0,1.0,0.0,961.0,,11852.25,474090.0,24719452.0,0.0,3.0,MA,7270.0,7482.0,8604.0,27.2,474090.0,0.0,53238.0,40208.0,1978-MA-8,1978
16,1.0,54565.0,18524.0,94328.0,52583.0,9.0,1.0,1.0,9077.0,193655.0,0.0,103730.0,293.0,8711.0,21804.0,25.0,1.40810656,52536.0,31845.0,27131.0,125.0,16283.0,36781.0,0.0,10144.0,1.0,0.0,752.0,,3789.44,473680.0,24719452.0,141.0,3.0,MA,6851.0,6250.0,7928.0,27.2,458705.0,1111.0,52609.0,36820.0,1978-MA-9,1978
17,1.0,47693.0,18524.0,2969.0,79467.0,10.0,0.0,1.0,11178.0,199009.0,0.0,113430.0,1557.0,5314.0,12394.0,25.0,1.40810656,38232.0,26795.0,27131.0,802.0,14692.0,70200.0,0.0,10747.0,1.0,0.0,1087.0,,594.8304239,477054.0,0.0,2589.0,3.0,MA,6789.0,4026.0,7267.0,27.2,334645.0,0.0,56969.0,36593.0,1978-MA-10,1978
18,1.0,54960.0,18524.0,10895.0,64108.0,11.0,1.0,1.0,11287.0,200395.0,0.0,111826.0,309.0,8384.0,20078.0,25.0,1.40810656,41987.0,32171.0,27131.0,130.0,18266.0,44533.0,0.0,11052.0,0.0,0.0,935.0,,3659.9153850000002,475789.0,24719452.0,60.0,3.0,MA,5521.0,7255.0,7267.0,27.2,468924.0,842.0,59586.0,45297.0,1978-MA-11,1978
19,1.0,57556.0,18524.0,7718.0,68346.0,12.0,0.0,1.0,15254.0,186951.0,0.0,113516.0,1237.0,6052.0,14258.0,25.0,1.40810656,38953.0,26133.0,27131.0,1098.0,16436.0,46155.0,1.0,10132.0,1.0,1.0,4093.0,1.0,433.21675769999996,475672.0,0.0,2028.0,3.0,MA,3645.0,4992.0,8245.0,27.2,309624.0,0.0,58223.0,39141.0,1978-MA-12,1978
20,1.0,38773.0,1902.0,1641.0,61186.0,1.0,0.0,1.0,10255.0,150200.0,0.0,84465.0,1452.0,8002.0,9081.0,33.0,1.40810656,19134.0,23388.0,83.0,2749.0,9603.0,49656.0,0.0,9631.0,3.0,1.0,3769.0,1.0,133.5303747,367075.0,0.0,3412.0,4.0,NH,5783.0,3177.0,5871.0,21.2,216052.0,150.0,44832.0,28027.0,1978-NH-1,1978
21,1.0,39673.0,1902.0,1026.0,62776.0,2.0,0.0,0.0,10130.0,154513.0,0.0,83551.0,2168.0,3564.0,8802.0,33.0,1.40810656,17914.0,18280.0,83.0,6278.0,9149.0,54892.0,0.0,9736.0,0.0,0.0,290.0,,59.03249442,370606.0,0.0,5661.0,4.0,NH,5567.0,2839.0,4718.0,21.2,200639.0,0.0,45070.0,26406.0,1978-NH-2,1978
22,1.0,51926.0,3852.0,11964.0,79350.0,1.0,0.0,1.0,9441.0,194435.0,0.0,102710.0,801.0,7620.0,12662.0,44.0,1.40810656,43592.0,25108.0,0.0,278.0,12080.0,67240.0,0.0,9713.0,4.0,0.0,20483.0,,1710.219424,475441.0,0.0,887.0,5.0,RI,5408.0,4058.0,7463.0,27.9,426633.0,0.0,57401.0,35316.0,1978-RI-1,1978
23,1.0,52534.0,3852.0,13280.0,78325.0,2.0,0.0,1.0,10812.0,193927.0,0.0,103538.0,780.0,8922.0,12814.0,44.0,1.40810656,30835.0,33002.0,0.0,771.0,13322.0,63613.0,0.0,9755.0,1.0,0.0,10116.0,1.0,615.151751,474282.0,0.0,1475.0,5.0,RI,10758.0,4017.0,8251.0,27.9,399377.0,351.0,60242.0,35365.0,1978-RI-2,1978
24,1.0,47483.0,1521.0,685.0,57577.0,1.0,0.0,0.0,12907.0,174960.0,0.0,105969.0,8913.0,4654.0,9866.0,50.0,1.40810656,18499.0,25410.0,0.0,9267.0,12693.0,40129.0,0.0,8928.0,0.0,0.0,361.0,1.0,47.99093558,444732.0,0.0,26451.0,6.0,VT,8063.0,4451.0,7240.0,21.0,143001.0,194.0,48248.0,30388.0,1978-VT-1,1978
25,2.0,43616.0,2453.0,78305.0,72629.0,1.0,0.0,1.0,16050.0,219156.0,0.0,135462.0,4405.0,6159.0,16889.0,10.0,2.32414784,15648.0,32300.0,0.0,1982.0,9448.0,62586.0,0.0,10209.0,1.0,1.0,6489.0,1.0,276.54086780000006,548104.0,0.0,11360.0,11.0,DE,16693.0,7073.0,8228.0,25.8,395160.0,0.0,62590.0,40514.0,1978-DE-1,1978
26,2.0,40932.0,25333.0,59981.0,75731.0,1.0,0.0,0.0,12847.0,188482.0,0.0,116345.0,1786.0,9049.0,16036.0,34.0,2.32414784,16561.0,26406.0,17109.0,508.0,13631.0,57233.0,0.0,10314.0,0.0,0.0,1418.0,,940.9488188999999,478002.0,27132019.0,4019.0,12.0,NJ,3726.0,7695.0,7945.0,31.2,410179.0,0.0,57945.0,36550.0,1978-NJ-1,1978
27,2.0,69652.0,25333.0,62752.0,70442.0,2.0,0.0,1.0,13792.0,182652.0,0.0,104790.0,3351.0,5943.0,12688.0,34.0,2.32414784,26103.0,27879.0,17109.0,2375.0,16640.0,45461.0,0.0,9039.0,3.0,1.0,3372.0,1.0,201.3162105,478126.0,0.0,6891.0,12.0,NJ,5296.0,5659.0,10053.0,31.2,311474.0,0.0,55439.0,36220.0,1978-NJ-2,1978
28,2.0,52793.0,25333.0,39225.0,50944.0,3.0,0.0,1.0,11382.0,173384.0,0.0,114789.0,1046.0,12150.0,16307.0,34.0,2.32414784,30659.0,29420.0,17109.0,447.0,13777.0,35444.0,0.0,11291.0,1.0,1.0,9893.0,,1063.979866,475599.0,0.0,2508.0,12.0,NJ,3493.0,7023.0,7461.0,31.2,389939.0,0.0,55708.0,34702.0,1978-NJ-3,1978
29,2.0,36440.0,25333.0,61981.0,67831.0,4.0,0.0,0.0,9941.0,183465.0,0.0,109520.0,1333.0,6177.0,13753.0,34.0,2.32414784,29573.0,32740.0,17109.0,449.0,14258.0,58555.0,0.0,11086.0,3.0,2.0,27531.0,,1064.688196,478045.0,0.0,2648.0,12.0,NJ,12305.0,6070.0,6751.0,31.2,417983.0,0.0,54291.0,30284.0,1978-NJ-4,1978
30,2.0,36620.0,25333.0,16236.0,50660.0,5.0,0.0,0.0,9190.0,200732.0,0.0,117790.0,910.0,4693.0,23786.0,34.0,2.32414784,36079.0,24455.0,17109.0,519.0,15712.0,60489.0,0.0,14218.0,0.0,0.0,328.0,,921.0154143,478007.0,0.0,2569.0,12.0,NJ,4050.0,5221.0,4571.0,31.2,404688.0,1457.0,61269.0,34386.0,1978-NJ-5,1978
31,2.0,39813.0,25333.0,21553.0,53368.0,6.0,0.0,0.0,10813.0,181486.0,0.0,123756.0,1084.0,10349.0,16940.0,34.0,2.32414784,21932.0,27544.0,17109.0,629.0,13985.0,49106.0,0.0,11689.0,1.0,1.0,4589.0,1.0,760.154213,478137.0,0.0,2179.0,12.0,NJ,3210.0,6660.0,6445.0,31.2,375310.0,0.0,58760.0,38920.0,1978-NJ-6,1978
32,2.0,41878.0,25333.0,14991.0,53381.0,7.0,0.0,0.0,9827.0,207192.0,0.0,117574.0,331.0,3887.0,22804.0,34.0,2.32414784,44086.0,22693.0,17109.0,145.0,16682.0,57306.0,0.0,14257.0,0.0,0.0,172.0,,3310.337931,479999.0,0.0,10.0,12.0,NJ,2124.0,7480.0,6344.0,31.2,476791.0,0.0,64894.0,45764.0,1978-NJ-7,1978
33,2.0,50832.0,25333.0,50384.0,87257.0,8.0,0.0,0.0,9804.0,210138.0,0.0,100050.0,466.0,4100.0,15411.0,34.0,2.32414784,61373.0,21268.0,17109.0,189.0,14234.0,81287.0,0.0,10783.0,0.0,0.0,361.0,,2531.0529100000003,478369.0,0.0,66.0,12.0,NJ,2934.0,6133.0,10097.0,31.2,461088.0,0.0,56580.0,39653.0,1978-NJ-8,1978
34,2.0,50348.0,25333.0,10532.0,69845.0,9.0,0.0,1.0,10501.0,216668.0,0.0,101142.0,271.0,4064.0,23524.0,34.0,2.32414784,74435.0,20502.0,17109.0,98.0,14371.0,65111.0,0.0,12428.0,0.0,0.0,326.0,,4881.908163,478427.0,0.0,0.0,12.0,NJ,2067.0,11855.0,7977.0,31.2,478427.0,0.0,60758.0,42842.0,1978-NJ-9,1978
35,2.0,43633.0,25333.0,247531.0,83193.0,10.0,1.0,1.0,8145.0,191874.0,0.0,108506.0,312.0,6421.0,19544.0,34.0,2.32414784,47759.0,27270.0,17109.0,30.0,15880.0,62800.0,0.0,8300.0,0.0,0.0,333.0,,15940.566669999998,478217.0,0.0,0.0,12.0,NJ,4969.0,8545.0,11282.0,31.2,478217.0,1093.0,42259.0,28338.0,1978-NJ-10,1978
36,2.0,59213.0,25333.0,31721.0,61206.0,11.0,0.0,0.0,9262.0,214263.0,0.0,95742.0,285.0,5026.0,26971.0,34.0,2.32414784,50434.0,27134.0,17109.0,87.0,18858.0,60454.0,0.0,12508.0,0.0,0.0,231.0,,5463.183908,475297.0,0.0,0.0,12.0,NJ,3250.0,7155.0,6654.0,31.2,475297.0,0.0,61547.0,40592.0,1978-NJ-11,1978
37,2.0,48548.0,25333.0,55032.0,69416.0,12.0,0.0,1.0,9411.0,211680.0,0.0,108419.0,315.0,4153.0,21999.0,34.0,2.32414784,54461.0,22933.0,17109.0,89.0,16044.0,72010.0,0.0,12787.0,0.0,0.0,256.0,,5369.5168539999995,477887.0,0.0,0.0,12.0,NJ,2736.0,7278.0,6571.0,31.2,477887.0,0.0,60795.0,39012.0,1978-NJ-12,1978
38,2.0,41446.0,25333.0,8011.0,70110.0,13.0,0.0,0.0,12256.0,195354.0,0.0,116872.0,3313.0,9787.0,16007.0,34.0,2.32414784,28622.0,32062.0,17109.0,1717.0,15006.0,64234.0,0.0,11731.0,1.0,0.0,540.0,,278.48806060000004,478164.0,0.0,10937.0,12.0,NJ,7269.0,6330.0,5765.0,31.2,272234.0,0.0,57939.0,31985.0,1978-NJ-13,1978
39,2.0,53889.0,25333.0,60601.0,84215.0,14.0,0.0,1.0,7094.0,206685.0,0.0,96128.0,280.0,6266.0,23964.0,34.0,2.32414784,72488.0,26524.0,17109.0,32.0,17096.0,66482.0,0.0,9607.0,1.0,0.0,790.0,,14935.59375,477939.0,0.0,0.0,12.0,NJ,3162.0,15547.0,9247.0,31.2,477939.0,0.0,53685.0,32096.0,1978-NJ-14,1978
40,2.0,32710.0,25333.0,28813.0,82543.0,15.0,0.0,1.0,9704.0,208197.0,0.0,111726.0,513.0,5137.0,14680.0,34.0,2.32414784,39314.0,26519.0,17109.0,207.0,15129.0,78835.0,0.0,11793.0,0.0,0.0,297.0,,2308.9323670000003,477949.0,0.0,602.0,12.0,NJ,6253.0,9059.0,6383.0,31.2,465736.0,0.0,61602.0,37180.0,1978-NJ-15,1978
41,2.0,39408.0,164253.0,16440.0,47787.0,1.0,0.0,1.0,12829.0,163899.0,0.0,121070.0,1744.0,5803.0,13858.0,36.0,2.32414784,31733.0,35698.0,22418.0,195.0,20350.0,29091.0,0.0,11643.0,0.0,0.0,638.0,,2398.676923,467742.0,0.0,2207.0,13.0,NY,9545.0,6054.0,6683.0,40.2,355845.0,0.0,53772.0,32773.0,1978-NY-1,1978
42,2.0,33829.0,164253.0,16558.0,60286.0,2.0,0.0,1.0,11737.0,168446.0,0.0,128463.0,349.0,4401.0,14601.0,36.0,2.32414784,29718.0,33292.0,22418.0,402.0,18643.0,39170.0,0.0,11938.0,0.0,0.0,257.0,,1163.487562,467722.0,0.0,0.0,13.0,NY,10248.0,10054.0,5627.0,40.2,467507.0,0.0,53917.0,33156.0,1978-NY-2,1978
43,2.0,29444.0,164253.0,25322.0,46723.0,3.0,0.0,1.0,10438.0,181202.0,0.0,134950.0,418.0,4436.0,19023.0,36.0,2.32414784,33802.0,30028.0,22418.0,412.0,20580.0,42618.0,0.0,14396.0,0.0,0.0,325.0,,1135.665049,467894.0,0.0,76.0,13.0,NY,5012.0,7044.0,4859.0,40.2,460389.0,932.0,61048.0,36436.0,1978-NY-3,1978
44,2.0,28998.0,164253.0,16052.0,47438.0,4.0,0.0,1.0,10262.0,188719.0,0.0,131339.0,199.0,4825.0,21715.0,36.0,2.32414784,30125.0,31599.0,22418.0,97.0,23401.0,36723.0,0.0,14376.0,0.0,0.0,281.0,,4820.721649,467610.0,0.0,0.0,13.0,NY,3373.0,9070.0,5400.0,40.2,467591.0,0.0,63555.0,43278.0,1978-NY-4,1978
45,2.0,47530.0,164253.0,39695.0,45623.0,5.0,0.0,1.0,9237.0,194179.0,0.0,111807.0,301.0,5004.0,24176.0,36.0,2.32414784,44440.0,32173.0,22418.0,65.0,23905.0,33884.0,0.0,14102.0,0.0,0.0,930.0,,7195.292308,467694.0,0.0,0.0,13.0,NY,3264.0,9269.0,5641.0,40.2,467694.0,0.0,62417.0,43959.0,1978-NY-5,1978
46,2.0,50004.0,164253.0,10174.0,43494.0,6.0,1.0,1.0,9119.0,204013.0,0.0,100288.0,201.0,5617.0,28153.0,36.0,2.32414784,61496.0,31629.0,22418.0,64.0,22777.0,37765.0,1.0,14483.0,0.0,0.0,1186.0,,7306.28125,467602.0,177814618.0,0.0,13.0,NY,3235.0,9093.0,5390.0,40.2,467602.0,0.0,63897.0,43571.0,1978-NY-6,1978
47,2.0,54802.0,164253.0,170750.0,55273.0,7.0,1.0,0.0,6909.0,211879.0,0.0,89186.0,335.0,10204.0,28863.0,36.0,2.32414784,81668.0,39579.0,22418.0,19.0,25147.0,37994.0,0.0,11317.0,0.0,0.0,389.0,,24602.57895,467449.0,177814618.0,0.0,13.0,NY,4228.0,16836.0,7781.0,40.2,467449.0,0.0,51981.0,39834.0,1978-NY-7,1978
48,2.0,52514.0,164253.0,20373.0,51423.0,8.0,1.0,1.0,7796.0,231507.0,0.0,72474.0,81.0,7425.0,34490.0,36.0,2.32414784,124247.0,31907.0,22418.0,19.0,21682.0,48771.0,0.0,12244.0,0.0,0.0,571.0,,24615.31579,467691.0,177814618.0,0.0,13.0,NY,2800.0,12776.0,7328.0,40.2,467691.0,0.0,56523.0,50714.0,1978-NY-8,1978
49,2.0,71616.0,164253.0,10132.0,70385.0,9.0,1.0,1.0,9124.0,214189.0,0.0,73322.0,69.0,5822.0,34660.0,36.0,2.32414784,113995.0,25587.0,22418.0,20.0,17569.0,51747.0,0.0,10657.0,0.0,0.0,381.0,,23360.35,467207.0,177814618.0,0.0,13.0,NY,2196.0,14329.0,7565.0,40.2,467207.0,0.0,56594.0,41696.0,1978-NY-9,1978
50,2.0,59921.0,164253.0,63395.0,63955.0,10.0,1.0,1.0,10501.0,195616.0,0.0,88962.0,132.0,7211.0,29166.0,36.0,2.32414784,88920.0,31377.0,22418.0,24.0,21257.0,37992.0,0.0,9988.0,0.0,0.0,399.0,,19781.04167,474745.0,177814618.0,0.0,13.0,NY,2909.0,11563.0,7054.0,40.2,474745.0,0.0,51953.0,37652.0,1978-NY-10,1978
51,2.0,44484.0,164253.0,79251.0,55724.0,11.0,1.0,1.0,7893.0,184669.0,0.0,107229.0,173.0,6868.0,26376.0,36.0,2.32414784,63797.0,32240.0,22418.0,41.0,22627.0,35819.0,0.0,10834.0,1.0,1.0,933.0,,11458.29268,469790.0,177814618.0,0.0,13.0,NY,2745.0,12042.0,7013.0,40.2,469790.0,0.0,51125.0,38808.0,1978-NY-11,1978
52,2.0,27081.0,164253.0,358745.0,55183.0,12.0,1.0,0.0,4963.0,152431.0,0.0,122611.0,230.0,7782.0,20451.0,36.0,2.32414784,47009.0,29002.0,22418.0,7.0,17583.0,32447.0,0.0,6344.0,0.0,0.0,438.0,,66456.42857,465195.0,177814618.0,0.0,13.0,NY,3637.0,9167.0,8982.0,40.2,465195.0,0.0,28419.0,21487.0,1978-NY-12,1978
53,2.0,78590.0,164253.0,9671.0,56097.0,13.0,1.0,1.0,7009.0,203084.0,0.0,73798.0,80.0,7109.0,34183.0,36.0,2.32414784,109916.0,32002.0,22418.0,12.0,22137.0,42146.0,0.0,10368.0,0.0,0.0,581.0,,39186.83333,470242.0,177814618.0,0.0,13.0,NY,2756.0,11033.0,8695.0,40.2,470242.0,0.0,53804.0,42872.0,1978-NY-13,1978
54,2.0,38769.0,164253.0,108347.0,66412.0,14.0,1.0,1.0,4671.0,164371.0,0.0,106782.0,199.0,5691.0,22578.0,36.0,2.32414784,71615.0,21788.0,22418.0,10.0,13759.0,47915.0,0.0,6959.0,3.0,1.0,1907.0,,46751.7,467517.0,177814618.0,0.0,13.0,NY,2338.0,9672.0,9599.0,40.2,467517.0,0.0,35785.0,25565.0,1978-NY-14,1978
55,2.0,64141.0,164253.0,24751.0,61141.0,15.0,1.0,1.0,7580.0,189484.0,0.0,85345.0,70.0,6021.0,35314.0,36.0,2.32414784,99100.0,25628.0,22418.0,13.0,17269.0,41428.0,0.0,9529.0,1.0,1.0,1217.0,,35957.92308,467453.0,177814618.0,0.0,13.0,NY,2338.0,12035.0,8185.0,40.2,467453.0,1000.0,49768.0,32088.0,1978-NY-15,1978
56,2.0,61531.0,164253.0,103131.0,48170.0,16.0,1.0,0.0,6332.0,202282.0,0.0,82388.0,162.0,7209.0,34078.0,36.0,2.32414784,92715.0,39279.0,22418.0,13.0,27379.0,33761.0,0.0,10504.0,0.0,0.0,490.0,,35904.307689999994,466756.0,177814618.0,0.0,13.0,NY,4691.0,10366.0,7619.0,40.2,466756.0,0.0,49022.0,39332.0,1978-NY-16,1978
57,2.0,45490.0,164253.0,30355.0,51562.0,17.0,1.0,1.0,7350.0,189508.0,0.0,95501.0,139.0,7140.0,31216.0,36.0,2.32414784,70962.0,36862.0,22418.0,62.0,25061.0,32030.0,0.0,10632.0,1.0,1.0,4152.0,,7542.838709999999,467656.0,177814618.0,0.0,13.0,NY,4661.0,11979.0,6652.0,40.2,467656.0,0.0,53601.0,33005.0,1978-NY-17,1978
58,2.0,73629.0,164253.0,19986.0,25517.0,18.0,1.0,1.0,4121.0,268314.0,0.0,40771.0,72.0,6787.0,54252.0,36.0,2.32414784,91227.0,26544.0,22418.0,6.0,16392.0,41958.0,0.0,14853.0,0.0,0.0,437.0,,77922.16667,467533.0,177814618.0,0.0,13.0,NY,3365.0,10693.0,10521.0,40.2,467533.0,1030.0,62937.0,41179.0,1978-NY-18,1978
59,2.0,53315.0,164253.0,274143.0,47125.0,19.0,1.0,1.0,4085.0,187245.0,0.0,91635.0,108.0,7988.0,24017.0,36.0,2.32414784,42213.0,31373.0,22418.0,7.0,19932.0,29999.0,0.0,6712.0,0.0,0.0,265.0,,66696.57143,466876.0,177814618.0,0.0,13.0,NY,3453.0,8656.0,10526.0,40.2,466876.0,0.0,46711.0,30405.0,1978-NY-19,1978
60,2.0,74023.0,164253.0,71671.0,48142.0,20.0,1.0,1.0,4143.0,229307.0,0.0,62313.0,120.0,5681.0,31122.0,36.0,2.32414784,137358.0,28171.0,22418.0,7.0,19063.0,42815.0,0.0,9743.0,0.0,0.0,319.0,,66952.42857,468667.0,177814618.0,0.0,13.0,NY,3427.0,8685.0,10896.0,40.2,468667.0,0.0,24029.0,43246.0,1978-NY-20,1978
61,2.0,27667.0,164253.0,192893.0,51734.0,21.0,1.0,1.0,3427.0,131959.0,0.0,122325.0,128.0,5890.0,15905.0,36.0,2.32414784,35772.0,20973.0,22418.0,6.0,12425.0,33048.0,0.0,5613.0,0.0,0.0,331.0,,77005.0,462030.0,177814618.0,0.0,13.0,NY,2658.0,7561.0,7808.0,40.2,462030.0,0.0,45487.0,23694.0,1978-NY-21,1978
62,2.0,73351.0,164253.0,82384.0,53405.0,22.0,1.0,1.0,6927.0,194753.0,0.0,74839.0,126.0,8382.0,28249.0,36.0,2.32414784,99732.0,32289.0,22418.0,9.0,20605.0,35089.0,0.0,8850.0,0.0,0.0,432.0,,51881.222219999996,466931.0,177814618.0,0.0,13.0,NY,3302.0,10472.0,7773.0,40.2,466931.0,987.0,57803.0,40252.0,1978-NY-22,1978
