ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
2,52793,25333,39225,50944,3,0,1,11382,173384,0,114789,1046,12150,16307,34,2.32414784,30659,29420,17109,447,13777,35444,0,11291,1,1,9893,,1063.979866,475599,0,2508,12,NJ,3493,7023,7461,31.2,389939,0,55708,34702,1978-NJ-3,1978,0,83349,148955,0.559558256,0,127164,204739,0.621102965,0
2,36440,25333,61981,67831,4,0,0,9941,183465,0,109520,1333,6177,13753,34,2.32414784,29573,32740,17109,449,14258,58555,0,11086,3,2,27531,,1064.688196,478045,0,2648,12,NJ,12305,6070,6751,31.2,417983,0,54291,30284,1978-NJ-4,1978,0,69259,113382,0.610846519,0,113281,170868,0.662973758,0
2,36620,25333,16236,50660,5,0,0,9190,200732,0,117790,910,4693,23786,34,2.32414784,36079,24455,17109,519,15712,60489,0,14218,0,0,328,,921.0154143,478007,0,2569,12,NJ,4050,5221,4571,31.2,404688,1457,61269,34386,1978-NJ-5,1978,4,100739,138847,0.725539623,4,137803,206106,0.668602564,0
2,39813,25333,21553,53368,6,0,0,10813,181486,0,123756,1084,10349,16940,34,2.32414784,21932,27544,17109,629,13985,49106,0,11689,1,1,4589,1,760.154213,478137,0,2179,12,NJ,3210,6660,6445,31.2,375310,0,58760,38920,1978-NJ-6,1978,4,89446,148184,0.603614425,4,125920,214304,0.587576527,0
2,41878,25333,14991,53381,7,0,0,9827,207192,0,117574,331,3887,22804,34,2.32414784,44086,22693,17109,145,16682,57306,0,14257,0,0,172,,3310.337931,479999,0,10,12,NJ,2124,7480,6344,31.2,476791,0,64894,45764,1978-NJ-7,1978,0,78358,149118,0.525476468,0,120526,213150,0.56545156,0
2,50832,25333,50384,87257,8,0,0,9804,210138,0,100050,466,4100,15411,34,2.32414784,61373,21268,17109,189,14234,81287,0,10783,0,0,361,,2531.05291,478369,0,66,12,NJ,2934,6133,10097,31.2,461088,0,56580,39653,1978-NJ-8,1978,0,69496,93338,0.744562772,0,108841,154196,0.705861371,0
2,50348,25333,10532,69845,9,0,1,10501,216668,0,101142,271,4064,23524,34,2.32414784,74435,20502,17109,98,14371,65111,0,12428,0,0,326,,4881.908163,478427,0,0,12,NJ,2067,11855,7977,31.2,478427,0,60758,42842,1978-NJ-9,1978,4,73478,150155,0.489347674,4,107454,202344,0.531046139,0
2,43633,25333,247531,83193,10,1,1,8145,191874,0,108506,312,6421,19544,34,2.32414784,47759,27270,17109,30,15880,62800,0,8300,0,0,333,,15940.56667,478217,0,0,12,NJ,4969,8545,11282,31.2,478217,1093,42259,28338,1978-NJ-10,1978,0,55074,63777,0.863540148,0,88245,106775,0.826457504,0
2,59213,25333,31721,61206,11,0,0,9262,214263,0,95742,285,5026,26971,34,2.32414784,50434,27134,17109,87,18858,60454,0,12508,0,0,231,,5463.183908,475297,0,0,12,NJ,3250,7155,6654,31.2,475297,0,61547,40592,1978-NJ-11,1978,0,88294,125174,0.705370125,0,129026,190808,0.676208545,0
2,48548,25333,55032,69416,12,0,1,9411,211680,0,108419,315,4153,21999,34,2.32414784,54461,22933,17109,89,16044,72010,0,12787,0,0,256,,5369.516854,477887,0,0,12,NJ,2736,7278,6571,31.2,477887,0,60795,39012,1978-NJ-12,1978,4,94850,129273,0.733718565,4,136973,187282,0.73137301,0
2,41446,25333,8011,70110,13,0,0,12256,195354,0,116872,3313,9787,16007,34,2.32414784,28622,32062,17109,1717,15006,64234,0,11731,1,0,540,,278.4880606,478164,0,10937,12,NJ,7269,6330,5765,31.2,272234,0,57939,31985,1978-NJ-13,1978,4,77301,149109,0.518419411,0,105291,209051,0.503661786,1
2,53889,25333,60601,84215,14,0,1,7094,206685,0,96128,280,6266,23964,34,2.32414784,72488,26524,17109,32,17096,66482,0,9607,1,0,790,,14935.59375,477939,0,0,12,NJ,3162,15547,9247,31.2,477939,0,53685,32096,1978-NJ-14,1978,0,67008,105340,0.636111639,0,73174,146768,0.49856917,0
