,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
270,8,-0.79966648,0.016033089,0.43067732299999995,0.8248870229999999,2,1,1,-0.548542587,-1.250407051,0,1.102898795,0.012800546000000001,0.076986158,13597,22,0.087850501,0.046111849,-0.844367476,7188,349,-1.090586313,-1.199634319,0,-1.227236336,0.0,0.0,0.011174688,0,-0.181674091,0.17012205600000002,0.068565082,0.000328911,45,LA,-0.51074407,0.966972536,0.171175887,-0.480722185,1.000479567,0.253170092,0.006818159,-0.388944224,1978-LA-2,0,-2.937698418,-2.917222489,2.219751717,0,-0.6791412040000001,-1.3510138059999999,1.7258938380000002,0
271,8,-1.65161891,0.016033089,0.160300682,0.821180515,3,0,1,-0.37200491799999996,-1.6925194769999998,0,1.972689685,0.079374562,0.030780796000000003,13046,22,0.087850501,0.016120415,-1.4388646280000001,7188,4237,-1.418722148,-1.237947469,0,-1.092817442,0.0,0.0,0.004468228,1,-0.33584577600000004,0.171244877,0.0,0.04245398,45,LA,-0.808772513,0.826973928,0.080538569,-0.480722185,-0.09577495,0.0,0.00946474,-0.691375958,1978-LA-3,4,-2.937698418,-2.917222489,2.219751717,4,-0.050622769000000005,-0.36445412299999996,0.37985525,0
272,8,-0.851277568,0.016033089,0.33801051600000004,0.613152958,4,0,0,-0.931558357,-2.0699520540000003,0,1.17349395,0.070883787,0.10728786400000001,9812,22,0.087850501,0.008741766,-0.838668133,7188,6650,-1.473341684,-0.8031857259999999,0,-1.251317896,0.23076923100000002,0.4,0.41080958100000003,0,-0.340882886,0.17082119699999998,0.0,0.060537184,45,LA,-0.571594748,-0.9633919670000001,0.13489621400000001,-0.480722185,-0.12337135800000001,0.202885877,0.008343879,-1.368743654,1978-LA-4,0,-1.185212223,-0.6409778979999999,-1.2462232309999999,0,-0.9368359279999999,-1.6401189630000002,2.245949958,0
273,8,-0.645280111,0.016033089,0.37450953600000003,0.486185569,5,0,0,-0.596890843,-2.165078148,0,1.588696755,0.246009173,0.028619988,7925,22,0.087850501,0.0020663929999999997,-0.46068047100000004,7188,13239,-1.093980166,-1.088416682,0,-1.389151993,0.0,0.0,0.0031662640000000002,0,-0.345277447,0.170727512,0.0,0.26256509699999997,45,LA,0.652878228,-1.4298832430000001,0.16434936,-0.480722185,-1.024995817,0.0,0.006200137,-1.7840693509999999,1978-LA-5,0,-2.937698418,-2.917222489,2.219751717,0,-0.739442365,-0.181230362,-1.071941509,0
274,8,-1.325083835,0.016033089,0.32232077,0.6135292370000001,6,0,1,0.503364651,-1.627778049,0,1.630822835,0.100481545,0.026983352999999998,11528,22,0.087850501,0.012358715,0.314551717,7188,3449,-1.204613896,-0.893607638,0,-1.173030932,0.0,0.0,0.002513666,0,-0.33265532800000003,0.17208804100000002,0.286578222,0.09004207800000001,45,LA,2.0519924769999998,-1.385619266,0.13148606,-0.480722185,-0.172466292,0.0,0.09539787400000001,-1.5050926000000002,1978-LA-6,4,-2.937698418,-2.917222489,2.219751717,4,-0.30393097,-0.291759695,-0.186055847,0
275,8,-1.27996145,0.016033089,0.229205446,0.6778490629999999,7,0,1,0.056032393,-1.983360946,0,1.976082574,0.196820887,0.029689451000000002,9321,22,0.087850501,0.004553501,-0.924007818,7188,7707,-0.922212392,-1.4835881969999998,0,-1.263490031,0.0,0.0,0.008528535,0,-0.342098013,0.17046044,0.0,0.175055715,45,LA,-0.253628471,-0.8182444409999999,0.134136764,-0.480722185,-0.427053933,0.0,0.004977467,-1.1794521999999998,1978-LA-7,0,-2.937698418,-2.917222489,2.219751717,0,0.167647398,-0.509754948,1.08160102,0
276,8,-1.028928389,0.016033089,0.393308101,0.38757210299999995,8,0,0,-0.038224528,-2.665140121,0,2.011186073,0.238946219,0.05159075900000001,6669,22,0.087850501,0.005780243000000001,-0.933626952,7188,6691,-1.4977687480000001,-1.306619315,0,-1.36025412,0.076923077,0.2,0.039033252000000004,1,-0.340917344,0.17224604699999999,0.0,0.22696297899999998,45,LA,-0.124625203,-1.116672795,0.15993463900000002,-0.480722185,-1.269171165,0.163970267,0.004173302,-2.213382598,1978-LA-8,0,-2.937698418,-2.917222489,2.219751717,0,-0.127793092,-0.999179116,1.841449172,0
277,8,-0.633177969,0.005983621999999999,0.38518665,1.52092924,1,0,0,-0.915146564,-1.6944450640000002,0,1.5894539140000001,0.361011325,0.057401035,6042,28,0.087850501,0.00139731,-0.815747565,97429,10013,-0.882680015,0.274847592,0,-1.405352315,0.0,0.0,0.00145172,0,-0.34412426399999996,0.14083223,0.0,0.552773999,46,MS,-0.390949393,-1.203825258,0.147091833,-0.9543634259999999,-1.5831039180000002,0.0,0.008482161,-1.94999128,1978-MS-1,0,-1.4050011740000001,-1.419132576,-0.101730871,0,-0.46891299700000005,-1.3358728009999998,2.245949958,0
278,8,-0.733956693,0.005983621999999999,0.498626137,0.9032687420000001,2,0,0,-1.230962694,-1.842749423,0,1.903365098,0.333564336,0.063586272,5836,28,0.087850501,0.004535524,-0.51618612,97429,9371,-0.834518633,-0.21804833,0,-1.416823895,0.076923077,0.2,0.035132709,0,-0.343647039,0.15043004199999999,0.0,0.35919510600000004,46,MS,0.017643249,-1.42961992,0.185393602,-0.9543634259999999,-1.026455482,0.0,0.010001643000000001,-1.987780661,1978-MS-2,0,-1.396450114,-1.2929382809999999,-0.437225187,0,-0.9724155090000001,-0.887170894,-0.340459695,0
279,5,-0.551155849,0.005983621999999999,0.43821983700000006,1.219771417,3,0,0,-0.6068709870000001,-2.010304194,0,1.493874933,0.355591447,0.058795349000000004,5990,28,0.003205313,0.000765453,-0.793034975,97429,13409,-1.198324224,-0.302779363,0,-1.427857629,0.153846154,0.2,0.036794109,0,-0.345424945,0.157455014,0.0,0.46510471,46,MS,-0.160229683,-1.025928498,0.097080938,-0.9543634259999999,-1.686855727,0.0,0.262262159,-2.045064333,1978-MS-3,0,-0.22049238300000001,-1.002797478,1.6892682730000002,0,0.489650725,-0.566111175,1.822517555,0
280,8,-0.8690257640000001,0.005983621999999999,0.46793082399999997,0.792424462,4,0,0,-0.324765567,-1.415354078,0,1.816336226,0.128553405,0.09938636699999999,11949,28,0.087850501,0.002714735,-0.122883384,97429,7065,-0.6960593429999999,-0.6746352940000001,0,-1.2980799090000001,0.0,0.0,0.0038168259999999997,1,-0.341594368,0.156044147,0.0,0.18031882899999999,46,MS,0.210872284,-0.83045351,0.111425469,-0.9543634259999999,-0.494115111,0.218627022,0.006219641,-1.241175125,1978-MS-4,4,-1.1146125390000001,-0.619554256,-1.13978397,4,-0.267322452,-0.643893685,0.570877358,0
281,5,-1.192861301,0.005983621999999999,0.21004340800000001,1.175154608,5,0,1,0.12434093800000001,-1.972239545,0,1.383229094,0.066710851,0.132988135,8264,28,0.003205313,0.009112061,-0.35986143200000004,97429,7438,-0.825974125,-0.37974252799999997,0,-1.276100011,0.307692308,0.2,0.234057966,0,-0.341875255,0.166219449,0.09493483,0.10185314699999999,46,MS,-0.460766986,-1.142860112,0.082563408,-0.9543634259999999,-0.382589503,0.368167906,0.005628688000000001,-1.780628181,1978-MS-5,4,-0.340955433,-1.227397934,2.219751717,4,-0.17466390899999998,-0.286724431,0.023219214,0
282,5,-1.085841807,0.01740832,0.387988467,1.1997004470000001,1,0,1,-0.228512617,-1.5175045919999999,0,1.5474017869999999,0.43967998,0.13466340599999999,6865,37,0.003205313,0.00332401,-0.073108221,346082,8899,-1.389482284,-0.506985427,0,-1.33608499,0.153846154,0.2,0.13596338800000002,0,-0.343052177,0.176793263,0.0,0.40563628,47,NC,0.375533932,-1.5616664269999998,0.134542078,-1.5332582769999998,-1.4754835240000002,0.0,0.010642923,-1.259159394,1978-NC-1,0,-1.128214068,-1.447320664,0.838098633,0,-0.335584341,-0.6973273459999999,0.559413685,0
283,5,-1.032812476,0.01740832,0.43555151200000003,1.587405254,2,0,0,-0.6359242970000001,-1.1128518440000001,0,1.4097773759999999,0.423999855,0.017525039,7711,37,0.003205313,0.004045337,-0.387273755,346082,5628,-1.722731316,0.37987194799999996,0,-1.320147375,0.0,0.0,0.004553574,0,-0.33922633700000004,0.174077798,0.0,0.506021533,47,NC,1.30729574,-1.321563749,0.123766775,-1.5332582769999998,-1.4457288680000002,0.0,0.009511988,-1.650170711,1978-NC-2,0,-1.284938955,-1.542561969,0.708282091,0,0.063995469,-0.9893726740000001,2.245949958,0
284,5,-1.414912947,0.01740832,0.289623947,1.221049113,3,0,1,-0.26954210100000003,-1.8969729030000002,0,1.1283124340000001,0.430025561,0.088200929,6760,37,0.003205313,0.006538488,-0.758915124,346082,6491,-1.726709899,-0.256217741,0,-1.342652688,0.307692308,0.4,0.560172021,0,-0.340612431,0.174635712,0.0,0.46751366,47,NC,-0.06799155900000001,-1.7342012519999999,0.109665789,-1.5332582769999998,-1.494444805,0.0,0.01077578,-1.704086516,1978-NC-3,0,-1.482655483,-1.585183192,0.211248839,0,-0.915526088,-1.008492594,0.060783134,0
285,5,-1.2828132209999998,0.01740832,0.251299182,1.6271605759999999,4,0,0,-0.06306399900000001,-0.149766715,0,0.807815087,0.130468408,0.072606567,14774,37,0.003205313,0.014796159,0.514410743,346082,2660,-1.4218776359999998,0.50387052,0,-1.105690131,0.0,0.0,0.010252302,1,-0.327069349,0.18728457699999998,0.0,0.153720751,47,NC,2.047743131,-1.188399347,0.037708194,-1.5332582769999998,-0.37276228,0.219064276,0.0037144390000000004,-0.637445465,1978-NC-4,0,-0.9536388440000001,-1.548961239,1.828155556,0,-0.510124658,-0.307780991,-0.508887581,0
286,5,-1.096989632,0.01740832,0.151513064,3.191920809,5,0,0,-0.338294208,-0.274531331,0,0.9964134990000001,0.157399488,0.017834113999999998,10630,37,0.003205313,0.004076936,-1.3980600019999998,346082,3368,-1.551696989,2.2934548180000003,0,-1.176446135,0.0,0.0,0.004647372,0,-0.332006865,0.180789554,0.0,0.26768701100000003,47,NC,-0.51514549,0.017445012,0.090738605,-1.5332582769999998,-1.081317251,0.0,0.00926916,-1.4043091419999998,1978-NC-5,0,-1.0998352390000001,-0.709856994,-0.9628011670000001,0,-0.33076458,0.22183726199999998,-0.9543968209999999,0
