Feature,Mean accuracy,S.D. accuracy,Mean TP,S.D. TP,Mean FN,S.D. FN,Mean FP,S.D. FP,Mean TN,S.D. TN,Mean precision,S.D. precision,Mean recall,S.D. recall,Mean f1,S.D. f1,Mean auc,S.D. auc
MDNINCM,0.8680257510729614,0.006069586104605602,783,1.4142135623730951,60,5.656854249492381,63,0.0,26,4.242640687119285,0.9255318108464962,0.00012448454263153753,0.9288416075650119,0.006352259500021003,0.9271785459265676,0.003227284827429122,0.610085616724872,0.0200673306656143
MILTINST,0.8599785407725322,0.003793491315378511,776,0.0,53,1.4142135623730951,77,4.898979485566356,25,2.8284271247461903,0.909263862817716,0.005345183420262515,0.9361080590871833,0.001541504868384905,0.9224841840821121,0.002002434231469158,0.59017417425037,0.015553828148227375
MILTMAJR,0.846030042918455,0.002276094789227091,769,9.899494936611665,68,11.313708498984761,75,9.16515138991168,19,7.745966692414834,0.9106982067270877,0.008866132336707463,0.9187687704833791,0.01337972543908493,0.9146481820374733,0.0021588709933138576,0.5623320802771505,0.035780424891617625
MILTPOP,0.867489270386266,0.009863077419984035,782,15.556349186104045,60,14.142135623730951,63,4.898979485566356,26,6.324555320336759,0.924945428595416,0.004033910316650604,0.9287268870166708,0.016915595043639528,0.9267732568757077,0.006398542862740385,0.6113260314821594,0.024588247258907334
NUCPLANT,0.869098712446352,0.0015173965261513417,789,0.0,52,0.0,69,0.0,20,0.0,0.919091967403958,0.0008231743669226424,0.9376484560570071,0.0008397942769436459,0.9282774838330394,0.0008314012712363612,0.5827131169173925,0.004348268145063779
POPSQMI,0.865343347639485,0.0007586982630756709,780,3.4641016151377544,60,6.324555320336759,65,7.0710678118654755,26,4.242640687119285,0.92316882433752,0.007399349653581696,0.928074149166451,0.007325236626885713,0.9255857075955296,7.607436860130756e-05,0.6073257057297763,0.02410223657185713
POPULATN,0.8766094420600858,0.006069586104605524,797,8.48528137423857,52,7.745966692414834,62,2.0,20,2.8284271247461903,0.9272929967347336,0.0015708506315651994,0.9381951084320654,0.009207624780447595,0.9326967555143315,0.0037555901337852915,0.5902406632374844,0.011499853652079256
PORT,0.8594420600858369,0.013656568735362546,773,4.898979485566356,59,5.656854249492381,72,7.0710678118654755,27,7.745966692414834,0.9148535114174925,0.008149550364816963,0.9291319893341952,0.006734826424722326,0.9219371519490851,0.007453591766683834,0.6026215502226533,0.04147261197630292
RURLFARM,0.8664163090128756,0.014415266998438217,787,15.556349186104045,59,12.727922061357855,65,0.0,20,2.0,0.9231482730242786,0.0021680899757015783,0.9302345077349548,0.015278071716373054,0.9266548943997148,0.008673299606102225,0.5841648729150966,0.0007789020130818268
STATWRKR,0.8589055793991416,0.009863077419984035,773,7.745966692414834,72,4.242640687119285,59,4.898979485566356,27,1.4142135623730951,0.928560928684148,0.006184643067685773,0.9148320519707245,0.005374044772413408,0.9216452954593373,0.005773627906876539,0.6137830671838641,0.017252892410648653
TRANSPRT,0.8594420600858369,0.015173965261513888,778,19.79898987322333,64,8.48528137423857,67,5.656854249492381,23,5.656854249492381,0.9206429246769618,0.008022642333033644,0.9239159260826633,0.011099850840801123,0.922275266240167,0.009555829478838668,0.5887623433300324,0.00993673379921513
UNEMPLYD,0.8471030042918455,0.002276094789227091,767,1.4142135623730951,75,0.0,67,1.4142135623730951,22,0.0,0.919664268585132,0.0016956997150757215,0.9103853729047091,0.0009145090702659754,0.9150012167995184,0.0013011771903091692,0.5809105391364994,0.005400822543428471
UNION,0.875,0.0007586982630757494,790,2.8284271247461903,56,6.324555320336759,60,5.656854249492381,25,2.0,0.9294414669796696,0.00595075910995455,0.9332696955995066,0.007239260220812477,0.9313283068691149,0.0006171614031271771,0.6161419671863908,0.014968061837542462
URBAN,0.8615879828326181,0.009104379156908364,779,12.727922061357855,63,12.0,65,3.4641016151377544,24,4.242640687119285,0.9224652477813555,0.0026933698961397593,0.9246230660208564,0.014331293556478308,0.9235037291470839,0.0057993278830897315,0.5963002970553719,0.015477660259757078
VABEDS,0.8669527896995708,0.015173965261513888,789,13.416407864998739,55,1.4142135623730951,69,12.727922061357855,18,0.0,0.919621123928458,0.014891972637964133,0.9348541875844893,0.0026019175129622786,0.9271542497434596,0.008848685059011971,0.5744286760707256,0.020041526137611967
VETERANS,0.8680257510729614,0.013656568735362468,786,11.313708498984761,49,1.4142135623730951,74,11.313708498984761,23,1.4142135623730951,0.913953488372093,0.01315547499881945,0.941303200339656,0.002389559560965301,0.9274104621827679,0.007933051223262868,0.5902028822211101,0.020685543620881083
WHLRETL,0.869098712446352,0.013656568735362546,789,12.0,62,15.556349186104045,60,2.8284271247461903,20,0.0,0.929388530088422,0.002095232832797684,0.9272246174725466,0.017967174813459788,0.9282510125851223,0.007959829035900768,0.5909678848870301,0.007782139369496053
candidatevotes,0.872854077253219,0.006828284367681194,785,10.583005244258363,49,4.242640687119285,69,2.0,28,4.242640687119285,0.9186971349774073,0.00328795091205625,0.94126111119089,0.0055319984259866945,0.929841642434222,0.004383403071266184,0.6138152488275765,0.009645267819218328
totalvotes,0.8717811158798283,0.005310887841529853,786,5.656854249492381,55,0.0,64,4.242640687119285,26,0.0,0.9247016258846033,0.005116621963550514,0.9340427334736128,0.0012282573906024225,0.9293466407936384,0.0031920678054872904,0.6135425210532652,0.004721193027211356
winratio,0.8723175965665235,0.0015173965261514202,786,12.0,58,7.745966692414834,60,6.324555320336759,26,10.583005244258363,0.9286361608387708,0.005964525160585872,0.9307452494061758,0.009552659900233964,0.9296571518000369,0.0017765310410275546,0.6163646881951514,0.04881787449695861
prev_party,0.8631974248927039,0.0007586982630756709,778,0.0,60,4.898979485566356,67,4.242640687119285,26,1.4142135623730951,0.9207667472414334,0.004686586440584293,0.9279085956201476,0.005413512397005675,0.9243100885344971,0.0003244548721831143,0.6037666457771768,0.0018057745475063833
prev_candidatevotes,0.8615879828326181,0.025795740944573594,778,24.041630560342615,56,8.48528137423857,73,15.556349186104045,25,0.0,0.9141231625389241,0.019136355247345468,0.9327471294944891,0.011428645697350314,0.9233325443053313,0.015361923564483938,0.5955520947482991,0.026219897543001875
prev_totalvotes,0.8567596566523605,0.011380473946135455,770,11.313708498984761,64,1.4142135623730951,69,9.16515138991168,28,0.0,0.9171985277215725,0.011159066829119747,0.9232459198829055,0.0026067628175738145,0.9202022474317362,0.006911165677438988,0.6075936559121488,0.012440960746157515
prev_winratio,0.8578326180257512,0.005310887841529853,774,7.0710678118654755,62,0.0,70,5.656854249492381,25,2.0,0.9170558796072072,0.0068414158169087585,0.9252846211672969,0.0001505768318467225,0.9211451828905985,0.0033767399911338956,0.5961406604186319,0.0003086569905724917
flip,0.8712446351931331,0.004552189578454104,789,0.0,55,7.0710678118654755,65,11.313708498984761,22,4.898979485566356,0.9240177346054913,0.012171257720431112,0.9349024061921589,0.007882521328219504,0.9293739834441044,0.0022619891731844328,0.5973948908907363,0.033793942758299556
