STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
IL,21,19,0,7,46953,31030,7197,62024,0,0,6561,159169,0,87045,11781,0.00217944,12289,15362,0,5015,49821,0,5738,1,0,122,0,81.83489531,410402,0,55680,7212,6736,38,262629,0,44335,26527
IL,21,20,0,7,54057,31030,8726,49230,0,0,8922,157458,0,81305,14832,0.00217944,6330,21025,0,7036,28825,0,5053,0,0,216,1,57.12322342,401919,0,66438,4810,7592,38,222248,0,57912,28315
IL,21,21,0,8,59979,31030,17875,54523,0,0,7707,147951,0,84190,13454,1.6563744,5697,19073,0,8831,23581,0,4158,0,0,128,0,47.30608085,417760,0,74006,7123,11187,38,169939,176,43423,25219
IL,21,22,0,7,45317,31030,13667,52402,0,0,8160,162963,0,84931,12432,0.00217944,6634,27295,0,5787,30840,0,5437,1,1,9596,0,76.26265768,441332,0,56295,7965,7257,38,270507,0,46157,28972
IL,21,23,0,8,55375,31030,8321,57711,0,0,7575,150992,0,87376,16991,1.6563744,6552,14402,0,8268,34144,0,4807,0,0,215,0,49.91642477,412709,0,86196,6671,7847,38,167132,0,52988,25388
IL,21,24,0,8,33448,31030,53905,64051,0,0,7227,148728,0,89883,2065,1.6563744,8607,14162,0,994,48896,0,6053,4,1,4315,0,417.6156942,415110,0,10823,11151,8829,38,328415,0,63969,23524
IN,22,0,0,,445519,8734,269275,,0,0,87051,1793225,0,1006616,77054,,93202,169993,229,36185,607633,0,5798,0,0,9214,,128.8516789,4662498,0,0,67782,75984,36,2910291,0,596148,3037240
IN,22,1,0,7,27322,8734,86990,86821,0,1,7647,169763,0,102966,113,0.00217944,34171,10175,229,139,84238,0,6487,0,0,359,0,3267.683453,454208,18567036,69,7358,6036,36,452791,0,67375,23944
IN,22,2,0,4,42346,8734,1416,63213,0,1,9479,162478,0,93317,12326,4.01888736,8002,20388,229,5730,45138,0,5725,0,0,834,0,75.22931937,431064,0,73284,6687,5758,36,176441,0,42415,27653
IN,22,3,0,7,34677,8734,18996,59404,0,0,6409,148560,0,84727,3732,0.00217944,16276,10622,229,1827,56166,0,6264,1,0,161,0,210.2238643,384079,0,25054,4819,6555,36,270402,0,62131,25210
IN,22,4,0,3,42219,8734,14005,70132,0,0,8078,178829,0,97818,7476,0.00036324,8303,12704,229,2944,61916,0,6227,0,0,140,0,153.1715353,450937,0,55316,7302,6548,36,267081,200,47301,32294
IN,22,5,0,4,41317,8734,11495,73323,0,0,6212,164857,0,91762,8571,4.01888736,3805,12301,229,3203,67993,0,5821,1,1,3665,0,133.034655,426110,0,55990,4409,6490,36,234054,1650,57423,25149
IN,22,6,0,4,38909,8734,6911,57257,1,0,9389,174235,0,98131,6755,4.01888736,5161,19011,229,2741,51692,0,6873,2,0,298,0,160.146297,438961,0,36276,7481,4413,36,271218,0,43278,33682
IN,22,7,0,4,45901,8734,6339,51259,0,0,7530,135800,0,74938,8523,4.01888736,4392,19825,229,5307,31538,0,4864,1,0,602,0,69.6557377,369663,0,55624,6159,7191,36,169948,0,40710,23527
