STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NJ,34,12,10,0,2,68875,100300,357699,52320,0,1,11338,302157,0,84924,1382,12258,23417,28.008056,96090,51686,33875,54,25466,47133,0,34679,0,0,575,0,10997.7037,593876,,0,13962,24049,30338,19.9,593876,566,790452,46563
NJ,34,12,11,0,2,63744,100300,15518,26860,0,0,19391,341973,0,78944,3019,6701,36934,28.008056,60414,35741,33875,637,23553,56905,0,63574,1,0,454,0,933.321821,594526,,995,5487,12172,10804,19.9,506258,0,790452,65641
NJ,34,12,12,0,2,67815,100300,30643,22022,0,0,17392,323319,0,81291,4036,8130,31828,28.008056,53491,46852,33875,1022,23267,45031,0,62034,3,1,3315,0,581.7778865,594577,,4799,15455,9694,10556,19.9,363607,731,790452,60436
NJ,34,12,13,0,2,72077,100300,81983,66523,0,1,14634,307434,0,81532,1287,7756,24770,28.008056,193177,35344,33875,57,20373,63641,0,32311,1,0,519,0,10436.40351,594875,,0,7215,21963,28304,19.9,594875,0,790452,56182
NY,36,13,1,0,2,68442,770500,23559,29344,0,1,21521,296385,0,93874,4864,11238,20175,28.008056,39599,59263,14427,637,30358,33770,0,50313,0,0,625,0,910.6373626,580669,,389,17667,14497,13153,35.8,468550,0,1650271,59501
NY,36,13,2,0,2,55259,770500,56415,39063,0,1,18759,313560,0,87289,2847,7989,26093,28.008056,52621,50413,14427,189,27367,50650,0,53215,0,0,281,0,3070.386243,580303,,0,15057,20190,14527,35.8,579502,0,1650271,63179
NY,36,13,3,0,2,78042,770500,11417,22396,0,1,16684,315140,0,70261,2026,5621,35013,28.008056,58693,47685,14427,154,34902,34694,0,61611,0,0,274,0,3769.272727,580468,,0,7162,16944,11630,35.8,578040,0,1650271,65314
NY,36,13,4,0,2,85155,770500,94573,27505,0,1,14453,307030,0,72289,2650,7093,34644,28.008056,86823,51308,14427,84,36108,30855,0,56588,0,0,719,0,6910.619048,580492,,0,8107,19528,12770,35.8,580492,0,1650271,57133
NY,36,13,5,0,2,89262,770500,19955,19877,1,1,15912,310388,0,67481,1761,5926,33635,28.008056,129130,42813,14427,151,29050,34799,1,57915,0,0,510,0,3848.165563,581073,127030215,17,7837,14866,13360,35.8,576532,535,1650271,62150
NY,36,13,6,0,2,66149,770500,326222,36708,1,0,11325,293135,0,87166,989,11569,30073,28.008056,167818,61380,14427,37,41605,25855,0,40927,0,0,560,0,15724.64865,581812,127030215,0,8206,30386,24256,35.8,581812,0,1650271,40189
