STATE,SC,CD,DC,UNION,INTRLAND,VABEDS,COAST,PORT,CITY,LANDSQMI,POPULATN,POPSQMI,BLACK,BLUCLLR,CONSTRCT,EMPLYD,ENROLL,FARMER,FORBORN,GVTWRKR,MANUF,RURLFARM,TRANSPRT,UNEMPLYD,URBAN,VETERANS,WHLRETL
NY,13,36,0,24.7,2343,0,0,,1,792,295108,372.6111111,2278,43132,3757,105766,54485,5386,48,3946,34413,21502,8853,18274,225028,,18336
NY,13,37,0,24.7,2343,0,0,,0,3721,301328,80.98038162,1175,53950,4527,115156,55444,14876,49,2999,46679,51557,5607,14033,175670,,13210
NY,13,38,0,24.7,2343,1745,1,,0,3131,249343,79.63685723,1458,31469,3654,87797,42151,21388,28,2507,23640,71596,4609,10656,110426,,10976
NY,13,39,0,24.7,2343,414,0,,0,3167,241036,76.10862015,2429,31389,4055,82842,43598,12940,22,2687,20839,51281,7691,10867,124773,,10844
NY,13,40,0,24.7,2343,0,1,,1,336,341819.4,1017.319643,2788.5,60099,5649.54,129980.76,57653.7,4233.84,68.64,4406.22,53637.48,15748.2,8001.24,20425.08,283355.28,,20695.74
NY,13,41,0,24.7,2343,294,1,,1,2469,238555.6,96.62033212,2165.5,33637,3535.46,85256.24,42280.3,14788.16,35.36,2764.78,26511.52,49379.8,5043.76,12308.92,128659.72,,10525.26
NY,13,42,0,24.7,2343,0,1,,1,796,319785.4,401.7404523,5211.6,53592.4,3991,113760.4,60753.4,5974.8,47.8,4391,47653.6,24059.4,9048.2,20366.8,256035.6,,15757.8
NY,13,43,0,24.7,2343,0,1,,1,263,319350.8,1214.261597,7971.2,48918.8,4282,107904.8,59444.8,2645.6,43.6,4174,38223.2,12450.8,10898.4,25347.6,266747.2,,17869.6
NY,13,44,0,24.7,2343,0,1,,1,790,319350.8,404.241519,7971.2,48918.8,4282,107904.8,59444.8,2645.6,43.6,4174,38223.2,12450.8,10898.4,25347.6,266747.2,,17869.6
NY,13,45,0,24.7,2343,0,1,,0,3463,235913,68.12388103,998,34479,3198,82477,45689,14394,29,2056,25207,54804,5000,11279,114477,,9682
PA,14,0,0,29,3401,0,0,,0,45045,9900180,219.7842158,470172,1611194,,3230167,1926174,187537,1052,,,905168,,755833,6586877,281232,446762
PA,14,1,0,29,3401,0,0,34887488,1,23,322532.778,14023.16426,41896.96,53763.646,5635.749,117517.566,54862.339,132.932,46.426,4774.697,41467.269,0,8572.277,28797.48,322532.778,,22208.996
PA,14,2,0,29,3401,0,0,34887488,1,23,322532.778,14023.16426,41896.96,53763.646,5635.749,117517.566,54862.339,132.932,46.426,4774.697,41467.269,0,8572.277,28797.48,322532.778,,22208.996
PA,14,3,0,29,3401,0,0,34887488,1,23,322532.778,14023.16426,41896.96,53763.646,5635.749,117517.566,54862.339,132.932,46.426,4774.697,41467.269,0,8572.277,28797.48,322532.778,,22208.996
PA,14,4,0,29,3401,0,0,34887488,1,23,322532.778,14023.16426,41896.96,53763.646,5635.749,117517.566,54862.339,132.932,46.426,4774.697,41467.269,0,8572.277,28797.48,322532.778,,22208.996
PA,14,5,0,29,3401,0,0,34887488,1,23,322532.778,14023.16426,41896.96,53763.646,5635.749,117517.566,54862.339,132.932,46.426,4774.697,41467.269,0,8572.277,28797.48,322532.778,,22208.996
PA,14,6,0,29,3401,0,0,34887488,1,23,322532.778,14023.16426,41896.96,53763.646,5635.749,117517.566,54862.339,132.932,46.426,4774.697,41467.269,0,8572.277,28797.48,322532.778,,22208.996
PA,14,7,0,29,3401,0,0,,0,185,310756,1679.762162,22708,46123,5624,115598,58045,1351,66,3540,42665,6635,9149,14357,228240,,10280
PA,14,8,0,29,3401,0,0,,0,964,285248,295.9004149,2427,57223,5372,107270,52184,9167,24,2076,48057,36713,6629,14240,163656,,12143
PA,14,9,0,29,3401,2119,0,,0,1705,348130,204.1818182,15637,59261,6353,126793,62846,20037,24,2236,46520,76561,7326,13551,148274,,14099
PA,14,10,0,29,3401,0,0,,0,454,301243,663.530837,846,42498,2465,81165,62884,1631,49,2531,13439,8485,8134,39254,269997,,11736
PA,14,11,0,29,3401,0,0,,0,891,441518,495.5308642,953,72507,3828,119951,98527,2555,37,3201,21411,12764,7858,53339,336561,,15143
PA,14,12,0,29,3401,0,0,,0,1237,355218,287.1608731,573,55342,2745,92446,76167,5107,21,2014,17941,22026,7677,43852,201215,,10146
PA,14,13,0,29,3401,0,0,,0,864,241884,279.9583333,2293,54162,3700,94621,43065,6699,18,1911,45751,31477,6027,13383,144757,,11248
PA,14,14,0,29,3401,0,0,,0,4560,212979,46.70592105,573,25204,2962,63995,41824,18146,18,1409,14879,74416,5019,13891,58733,,4897
PA,14,15,0,29,3401,0,0,,0,5757,244920,42.54299114,1542,38513,3162,78409,47431,9263,16,2016,25126,43891,6191,14888,110500,,8883
PA,14,16,0,29,3401,0,0,,0,484,289247,597.6177686,14269,48628,5459,109562,53146,4028,42,2600,41635,20160,6350,11473,188316,,11091
PA,14,17,0,29,3401,0,0,,0,4363,215352,49.35869814,1967,26833,4877,60093,44744,14178,18,2041,14512,66883,3840,13488,37663,,4773
PA,14,18,0,29,3401,0,0,,0,1438,324857,225.9089013,12576,55986,6361,118973,59384,8631,15,11831,37066,37467,10893,17271,191725,,15892
PA,14,19,0,29,3401,0,0,,0,4065,239481,58.91291513,759,31852,2449,65865,49402,8346,12,1622,17356,51144,4754,16740,91830,,6969
PA,14,20,0,29,3401,0,0,,0,1390,260496,187.4071942,1438,54541,3492,90087,51635,4820,36,1754,41921,24306,5987,16174,170250,,10051
PA,14,21,0,29,3401,0,0,,0,2194,286835,130.7360985,4744,52603,6541,104867,54232,17381,7,1903,42302,69990,4588,11691,117279,,10589
PA,14,22,0,29,3401,0,0,,0,2789,285060,102.2086769,1898,42230,3349,78888,60367,5411,13,2190,12383,40882,18014,20496,140832,,10454
PA,14,23,0,29,3401,0,0,,0,1884,285956,151.7813163,10210,40987,3749,70715,65880,6325,21,1470,6995,38231,5023,28329,67528,,7828
,14,23,,,,,,,,,,,,,,,,,,,,,,,,,
PA,14,24,0,29,3401,0,0,,0,1434,255523,178.1889819,10190,43750,2574,74333,55039,6773,22,1544,17771,34553,4256,17953,94119,,7008
PA,14,25,0,29,3401,1000,0,,0,1602,341221,212.9968789,8804,55440,2856,101587,72151,8244,44,2093,45178,48349,7643,26688,186906,,11302
PA,14,26,0,29,3401,0,0,,0,2186,374400,171.2717292,3929,64849,3736,106037,85622,7118,24,2044,26166,51706,5442,25384,156263,,11527
PA,14,27,0,29,3401,0,0,,0,1025,303411,296.0107317,6156,51112,3236,87040,65206,4422,55,1607,34648,25027,5481,24531,146573,,8506
PA,14,28,0,29,3401,0,1,,0,2509,353572,140.9214827,4740,53311,3784,115101,67722,13870,23,2642,44960,64280,8694,22295,220495,,14432
PA,14,29,0,29,3401,0,0,,1,146,282307.8,1933.615068,18012,43260.2,4072.4,92614.6,54030.8,647.6,33.8,3303.8,33180.4,3844.4,8438.8,22025,236766.2,,16953
PA,14,30,0,29,3401,941,0,,1,146,282307.8,1933.615068,18012,43260.2,4072.4,92614.6,54030.8,647.6,33.8,3303.8,33180.4,3844.4,8438.8,22025,236766.2,,16953
PA,14,31,0,29,3401,0,0,,1,146,282307.8,1933.615068,18012,43260.2,4072.4,92614.6,54030.8,647.6,33.8,3303.8,33180.4,3844.4,8438.8,22025,236766.2,,16953
PA,14,32,0,29,3401,0,0,,1,146,282307.8,1933.615068,18012,43260.2,4072.4,92614.6,54030.8,647.6,33.8,3303.8,33180.4,3844.4,8438.8,22025,236766.2,,16953
PA,14,33,,,,,,,,,,,,,,,,,,,,,,,,,
,14,33,0,29,3401,0,0,,1,146,282307.8,1933.615068,18012,43260.2,4072.4,92614.6,54030.8,647.6,33.8,3303.8,33180.4,3844.4,8438.8,22025,236766.2,,16953
IL,21,0,0,27.3,0,0,0,,0,55947,7897241,141.1557546,387446,1132031,117372,2874431,1335674,279216,1052,99965,822577,968103,257998,486392,5809650,276240,454744
IL,21,1,0,27.3,0,0,1,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,2,0,27.3,0,0,1,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,3,0,27.3,0,0,0,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,4,0,27.3,0,0,0,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,5,0,27.3,0,0,0,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,6,0,27.3,0,0,0,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,7,0,27.3,0,0,1,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,8,0,27.3,0,0,1,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,9,0,27.3,0,0,1,,1,77,398207.516,5171.526182,28827.386,65596.3,6124.804,157347.134,65097.872,704.228,60.368,5363.834,53300.044,1696.086,15793.68,26456.472,387702.994,,29998.976
IL,21,10,0,27.3,0,3474,1,,1,695,608695.04,875.8202014,38005.84,97036,9653.76,241325.96,100603.68,3507.32,101.92,13880.96,77539.36,10636.84,22613.2,38586.68,554390.36,,41936.44
IL,21,11,0,27.3,0,0,0,,0,2303,385207,167.263135,5655,54495,6326,137049,68127,14912,66,4052,40871,43687,14398,17250,233957,,15125
IL,21,12,0,27.3,0,0,0,,0,3344,298072,89.13636364,1917,47802,4296,109930,51392,18042,33,2380,40146,55378,5502,13308,183495,,13665
IL,21,13,0,27.3,0,2929,0,,0,3826,186433,48.72791427,1170,20072,2721,64766,31084,20546,7,1611,13139,61391,4644,6345,71102,,6347
IL,21,14,0,27.3,0,0,0,,0,3278,214500,65.43624161,2088,28869,3220,77197,35691,16622,13,1739,22390,52131,4888,8100,118666,,8670
