Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
STANDARD,Naive Bayes,precision,0.917381974,0.89806867,0.947368421,0.813953488,0.892703863,0.895922747,0.912017167,0.910944206,0.896995708,0.894849785,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Naive Bayes,recall,1,1,0.042908224,0.04211793,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Naive Bayes,f1,0.956911024,0.946297343,0.082098062,0.080091533,0.943310658,0.945104697,0.953984287,0.953396968,0.945701357,0.944507361,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,accuracy,0.917381974,0.89806867,0.900214592,0.891630901,0.892703863,0.895922747,0.912017167,0.910944206,0.896995708,0.894849785,0.901072961,0.008567581,0.901072961,0.009031024,1,0,0.947941228,0.004981055
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,TP,855,837,839,831,832,835,850,849,836,834,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,FN,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,FP,77,95,93,101,100,97,82,83,96,98,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,TN,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,precision,0.917381974,0.89806867,0.900214592,0.891630901,0.892703863,0.895922747,0.912017167,0.910944206,0.896995708,0.894849785,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,recall,1,1,1,1,1,1,1,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,RBF Kernel SVC,f1,0.956911024,0.946297343,0.947487295,0.942711288,0.943310658,0.945104697,0.953984287,0.953396968,0.945701357,0.944507361,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,accuracy,0.91416309,0.891630901,0.899141631,0.884120172,0.888412017,0.892703863,0.908798283,0.900214592,0.89055794,0.896995708,0.89667382,0.008809398,0.903609833,0.009718286,0.991079148,0.004024974,0.945292744,0.005133313
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,TP,846,830,836,820,826,828,844,835,827,831,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,FN,9,7,3,11,6,7,6,14,9,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,FP,71,94,91,97,98,93,79,79,93,93,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,TN,6,1,2,4,2,4,3,4,3,5,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,precision,0.92257361,0.898268398,0.901833873,0.894220284,0.893939394,0.899022801,0.914409534,0.91356674,0.898913043,0.899350649,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,recall,0.989473684,0.991636798,0.996424315,0.986762936,0.992788462,0.991616766,0.992941176,0.983510012,0.98923445,0.996402878,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,Random Forest,f1,0.954853273,0.942646224,0.946772367,0.938215103,0.940774487,0.943052392,0.952058658,0.947249007,0.94191344,0.945392491,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
