Sampling,Model,Metric,Average,Standard Deviation,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
OVER,Random Forest,auc,0.5728411999537039,0.024234607223135484,0.5498168892718654,0.5877761836441894,0.5593513438433224,0.6236196551986025,0.5485489540186329,0.5488364192288092,0.5872391204996699,0.5898319689788885,0.5625494853523357,0.5708419795007231
OVER,AdaBoost,accuracy,0.8347639484978541,0.010836378689229681,0.8336909871244635,0.8283261802575107,0.8497854077253219,0.842274678111588,0.8358369098712446,0.842274678111588,0.8165236051502146,0.8454935622317596,0.8197424892703863,0.8336909871244635
OVER,AdaBoost,TP,752,11.269427669584644,754,751,768,755,752,760,729,764,741,748
OVER,AdaBoost,FN,91,10.198039027185569,90,99,79,100,89,81,109,80,101,89
OVER,AdaBoost,FP,62,5.744562646538029,65,61,61,47,64,66,62,64,67,66
OVER,AdaBoost,TN,25,3.4641016151377544,23,21,24,30,27,25,32,24,23,29
OVER,AdaBoost,precision,0.9235312772384076,0.006836079511733294,0.9206349206349206,0.9248768472906403,0.9264173703256936,0.9413965087281796,0.9215686274509803,0.9200968523002422,0.9216182048040455,0.9227053140096618,0.9170792079207921,0.918918918918919
OVER,AdaBoost,recall,0.8913381639638641,0.012088284724365728,0.8933649289099526,0.8835294117647059,0.9067296340023613,0.8830409356725146,0.8941736028537456,0.9036860879904876,0.869928400954654,0.9052132701421801,0.8800475059382423,0.8936678614097969
OVER,AdaBoost,f1,0.9070963265631534,0.006761370013315433,0.9067949488875526,0.9037304452466907,0.9164677804295943,0.9112854556427279,0.9076644538322269,0.9118176364727054,0.8950276243093923,0.9138755980861244,0.8981818181818182,0.9061175045427015
OVER,AdaBoost,auc,0.5924103128642888,0.019775762820656125,0.5773642826367944,0.5698134863701578,0.5945412875894158,0.6363256626414521,0.5954384497785212,0.5892056813578811,0.6051769664347738,0.5889702714347265,0.5678015307468989,0.5994655096522669
OVER,MLP,accuracy,0.6718884120171674,0.23925129994379613,0.2145922746781116,0.8755364806866953,0.8830472103004292,0.7682403433476395,0.8111587982832618,0.759656652360515,0.6888412017167382,0.8819742489270386,0.3465665236051502,0.4892703862660944
OVER,MLP,TP,598,247.4469640145136,126,811,817,700,744,683,610,818,266,405
OVER,MLP,FN,245,245.56669155241718,718,39,30,155,97,158,228,26,576,432
OVER,MLP,FP,59,22.9128784747792,14,77,79,61,79,66,62,84,33,44
OVER,MLP,TN,28,24.71841418861655,74,5,6,16,12,25,32,4,57,51
OVER,MLP,precision,0.906710145952069,0.008405688410115185,0.9,0.9132882882882883,0.9118303571428571,0.9198423127463863,0.9040097205346294,0.9118825100133512,0.9077380952380952,0.9068736141906873,0.8896321070234113,0.9020044543429844
OVER,MLP,recall,0.7080394004349692,0.29163507116884746,0.14928909952606634,0.9541176470588235,0.9645808736717828,0.8187134502923976,0.8846611177170036,0.812128418549346,0.7279236276849642,0.9691943127962085,0.3159144893111639,0.4838709677419355
OVER,MLP,f1,0.7587568794017464,0.23366931174544756,0.25609756097560976,0.9332566168009205,0.9374641422834195,0.8663366336633662,0.8942307692307692,0.8591194968553459,0.8079470198675496,0.9369988545246277,0.46625766871165647,0.6298600311041991
OVER,MLP,auc,0.5111654035330271,0.01899154801685362,0.49509909521757867,0.5075466284074606,0.5175845544829502,0.5132528290423027,0.5082646247925677,0.5434268466373104,0.5341745797999289,0.5073244291253769,0.4746239113222487,0.5103565365025466
