YEAR,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,PREVPARTY,PREVCANDVO,PREVTOTVO,PARTY,CANDIDATEVOTES,TOTALVOTES,ISTEST,,
1984,23,7,3,64571,56621,78795,53743,0,0,0,120595,2189,2367,8071,1.17,14362,27664,693643,1262,20696,77693,0,23783,0,0,133,-1,407.83,514679,0,5721,4601,4463,30375,33.7,351548,0,63534,37149,0,118538,157254,0,145070,155748,1,1,
1990,12,2,2,120438,41732,73067,39546,0,1,0,97972,4141,6213,11184,16.53,23465,42851,36417,2081,26604,43294,0,18741,1,0,1706,1,252.82,526111,0,4410,10034,7575,22121,19.9,378300,0,68610,41383,0,134505,204636,0,97698,110818,1,1,
1990,14,19,4,94432,98577,12042,63083,0,0,0,96645,5258,10289,11435,21.93,8668,34560,34405,1608,15288,79994,0,21065,3,0,1254,1,321.27,516605,0,12151,8983,11108,11554,27,278777,0,69925,48737,1,145381,188200,1,96336,96336,1,1,
1992,23,4,3,73476,106000,6340,47453,0,0,0,103542,8235,3382,10153,2.02,8465,37073,705471,8675,17357,60268,0,-1,0,0,340,0,66.96,603814,0,24463,16334,7348,22318,33.7,20732,0,973369,55631,1,75850,131302,1,157337,251539,1,1,
1996,5,1,1,78555,13500,16113,40149,0,1,0,60551,2585,7065,15061,24.75,52029,30971,5,323,14866,57293,0,38896,2,0,6404,0,1553.24,501696,0,454,9040,7242,16132,19.4,453576,0,113560,51268,0,89832,165901,0,121781,175425,1,1,
1992,72,1,17,66356,27400,4321,34080,1,1,0,83759,8141,7222,22985,27.15,36833,35740,15921659,2958,18689,56480,0,-1,0,0,717,0,192.19,568550,24925160,9696,9829,10751,11480,27.5,396355,0,427192,64257,0,150292,238259,0,152917,294154,1,1,
1982,13,32,3,97731,326416,43967,49142,1,0,0,94559,3272,4768,8876,1.17,31544,35528,28662,1038,21879,74163,0,21004,1,0,521,0,497.87,516787,0,5703,8881,7238,20972,35.8,412447,0,68144,44936,1,98498,178957,0,112189,127383,1,0,
1988,31,6,10,118516,25468,1535,34083,0,0,0,88934,30524,3519,9167,5.09,7761,26560,1648,13511,17156,32197,0,18616,0,0,165,0,35.93,485491,0,89876,5885,7916,11672,20.5,244607,0,59309,49425,1,81861,160679,1,125859,195478,1,1,
1992,43,2,5,64942,150200,130061,30725,0,1,0,90914,9376,8336,12178,1.52,14467,79636,2198321,11191,23785,23430,0,-1,1,1,5325,1,50.26,562530,0,9576,47515,7599,13420,9.6,238486,270,1631335,50513,0,103032,180971,0,167215,227726,1,1,
1984,24,4,4,94470,62434,17491,57262,0,0,0,103813,8194,3058,9163,21.93,6726,26383,14065,3972,18542,76788,0,19783,1,0,120,-1,129.58,514693,0,38231,4783,7835,18833,27.4,286246,0,63868,41831,1,105087,162651,1,162199,209217,1,1,
1990,49,12,13,85894,152838,90927,53395,1,0,0,102530,2069,8344,13370,3.12,20867,30093,993895,463,18011,66437,0,19069,1,1,4204,0,1140.17,527901,0,584,3738,13103,9838,12.5,509491,0,69308,55639,0,135459,136456,0,98026,137464,1,1,
1982,41,1,5,96189,20280,174840,46539,0,1,0,106790,5966,7601,11017,1.61,6885,35746,9448,7992,16191,48648,0,16622,0,0,1795,0,70.56,563905,37749120,7393,11954,9584,17297,18.2,365188,0,63858,44160,1,111089,117221,1,87901,144028,1,1,
1986,13,10,2,137757,326416,26207,26179,1,1,0,57243,508,7224,29979,16.53,110798,40608,28662,23,27752,33910,0,19701,0,0,199,0,22445.61,516249,152053796,0,5632,15587,15389,35.8,516249,0,58283,46610,0,110308,159992,0,71997,81790,1,1,
1982,12,2,2,125573,41732,69028,37844,0,1,0,97693,4034,6334,11533,16.53,23937,41867,36417,2081,26249,40175,0,18439,1,0,1825,1,252.85,526184,0,3591,9284,7702,22076,19.9,355717,0,70191,40954,0,135437,235710,0,102826,151128,1,1,
1982,52,8,2,78000,19362,48478,14720,0,0,1,90706,1755,55704,20670,16.53,67051,82149,34476,213,21143,17488,0,33404,0,0,4306,0,2478.22,527860,0,283,5302,5981,8318,18.6,521605,0,72668,48641,0,148301,249960,0,121761,170671,1,1,
1986,14,5,2,80664,98577,57483,44259,0,0,0,89841,4044,5951,14246,16.53,18113,30020,34405,700,17330,75757,0,23967,0,0,273,1,736.48,515536,27417581,3733,6739,8102,13292,27,362827,1044,70744,43681,1,141965,195551,1,87593,133241,1,1,
1994,1,1,1,78525,32900,77639,29393,0,0,0,75910,2303,5354,47627,24.75,58172,39895,4602,472,19075,45431,0,47493,0,0,697,0,1160.97,547979,0,521,15466,-1,14135,18.9,485683,125,362633,50427,0,112838,245430,0,88946,188907,1,1,
1986,13,13,2,137211,326416,37977,34183,1,1,0,61794,602,6789,26191,16.53,131451,30365,28662,17,19184,41061,0,15492,2,1,971,0,30449.88,517648,152053796,0,4392,13694,16428,35.8,517648,847,46626,35665,0,78455,125347,0,57704,74136,1,1,
1994,21,9,7,93565,212000,68833,28294,1,1,0,50264,1343,5673,32849,7.03,139263,32106,399,53,20851,44384,0,42697,0,0,183,0,10785.11,571611,0,0,5582,-1,15828,27.5,571611,0,1125388,61740,0,162942,239703,0,94404,142823,1,1,
1982,54,4,6,97159,28086,19347,64615,0,0,0,108283,10030,8284,6030,0.13,3258,33428,261151,9445,17856,69645,0,13733,1,0,343,1,54.07,510732,0,40897,7288,7155,19575,17.3,135406,0,54635,31627,0,137612,173570,0,93453,141322,1,1,
1994,53,3,11,161579,31000,40024,74291,1,0,0,176496,18654,16450,15416,11.81,9094,83317,5263,17963,24247,62863,0,23106,1,0,709,0,29.19,981077,0,44066,42620,-1,31510,12.9,4938,0,609423,75624,0,155934,207659,0,115731,156878,1,1,
1988,21,18,7,100147,130219,23869,43619,0,0,0,100764,11063,4523,12314,6.9,8412,29857,40,6416,15906,59101,0,21707,0,0,305,0,80.91,519097,0,32798,9428,9000,16848,27.5,325324,0,68694,46573,1,94308,150639,1,114458,209221,1,1,
1986,21,4,7,69840,130219,57771,50107,0,0,0,99909,1412,4837,13748,6.9,26114,28445,40,204,17747,69386,0,25510,1,0,174,0,2540.53,518268,0,2268,5861,12546,17980,27.5,476370,460,66960,48965,1,121744,190291,1,61583,119356,1,1,
1982,43,9,5,190677,59373,21537,26045,0,1,0,75618,5229,3822,14538,1.61,33364,24935,2083517,1087,16382,25386,0,16309,0,0,518,0,471.93,512984,0,3853,4731,7094,10444,9.6,410832,0,82202,48236,0,139468,198202,1,95009,185742,1,0,
1996,46,5,5,56409,24400,103085,33730,0,1,0,93654,4422,14341,9086,1.52,9026,41964,159713,6427,15986,40168,0,25736,3,1,11476,0,80.07,514611,24021297,5206,11637,7597,16854,9.3,299181,459,228493,42285,0,73179,121754,0,103415,177445,1,1,
1986,62,5,10,48704,20091,19882,22865,0,0,0,101497,2602,11577,16291,5.09,21084,35055,8892807,10467,17199,28675,0,21535,3,1,27172,0,46.03,481746,0,4704,6279,7151,13215,18,380569,0,71487,42865,1,163654,208242,1,121153,173641,1,1,
1992,13,17,2,82657,770500,242071,29669,1,0,0,79582,996,8546,24253,28.01,151995,57725,14427,21,40549,25067,0,-1,0,0,283,0,27544,578424,127030215,0,8630,17613,23692,35.8,578424,479,1650271,38089,0,73450,115940,0,94758,166357,1,1,
1994,24,3,4,71719,132900,101747,38447,0,0,0,81509,1936,17025,13851,15.61,11319,40191,16784,431,18344,57256,0,36045,1,0,5068,0,1324.62,570913,0,1757,4822,-1,15707,27.4,530832,413,1216668,58109,0,146072,244811,0,105342,177656,1,1,
1982,21,20,8,121303,130219,26807,39072,0,0,0,90908,11724,4873,12511,57.97,7144,41988,40,6635,16737,41842,0,19765,0,0,164,0,78.23,519088,0,39156,20378,9402,19531,27.5,327503,0,69379,43180,1,123427,220377,0,100758,200109,1,0,
1990,66,2,12,71496,7766,12171,25100,0,0,0,94680,9655,10527,6978,0.47,25512,36758,12956222,55038,12153,11700,0,15722,4,2,10833,0,7.93,436261,0,12076,14078,6578,10556,12.8,308967,0,50766,33641,1,100324,100324,1,80677,80677,1,1,
1986,14,7,2,111637,98577,30343,28555,1,0,0,66035,1232,11638,19782,16.53,27415,31318,34405,140,15838,48852,0,23124,1,0,508,0,3684.26,515797,32690108,50,3842,12211,14118,27,513253,0,74902,48782,0,124458,248504,1,110118,179675,1,0,
1986,13,3,2,85360,326416,14151,21139,0,1,0,98511,2437,4817,21740,16.53,53680,39653,28662,222,27852,43085,0,30714,0,0,163,0,2327.57,516720,0,8,6984,10334,10727,35.8,510398,778,73258,50386,0,120191,235751,0,83985,148792,1,1,
1982,40,6,2,110018,29834,58273,51513,0,0,0,99991,6761,6118,12083,16.53,6169,38758,289424,5256,19071,59179,0,18309,0,0,283,0,102.45,538470,0,13998,13569,13658,12129,10.9,334726,727,70021,47035,1,123125,124143,0,68192,137140,1,0,
1996,14,7,2,85407,190400,21307,25868,0,0,0,55594,2381,8017,27112,28.01,29653,25824,94068,303,13703,46120,0,49477,0,0,656,0,1867.38,565815,23463489,230,4104,12233,9139,27,539089,0,1402128,60120,1,137480,197325,1,165087,246666,1,1,
1996,43,2,5,65613,150200,135102,30847,0,1,0,90928,9626,7988,11887,1.52,14205,78902,2198321,11191,23638,-1,0,27923,1,1,5283,1,50.26,562479,0,9791,47276,7276,13653,9.6,238486,270,-1,49740,0,117420,191468,0,138151,232400,1,1,
1992,14,6,2,95599,190400,13652,65228,0,0,0,75419,5206,3604,14329,28.01,11481,24413,94068,1901,13325,79269,0,-1,0,0,421,1,297.7,565923,0,7088,7484,8678,12668,27,217118,0,1402128,56576,0,74394,130487,0,108312,208006,1,1,
1988,13,25,2,110083,326416,9192,38297,0,0,0,101811,10481,6224,8880,16.53,19168,44575,28662,5301,23032,50714,0,17339,1,1,3792,0,97.38,516190,0,18921,15319,5706,17793,35.8,234812,0,64365,38378,1,104216,151079,1,130122,130122,1,1,
1988,1,4,1,102030,16110,58252,37129,0,1,0,87276,1878,4560,19254,5.78,63829,28488,2386,224,20118,75873,0,25879,0,0,200,0,2315.08,518579,0,90,3810,8777,11242,18.9,499492,0,68102,45908,1,77212,144211,1,147843,205973,1,1,
1984,13,17,2,130254,326416,82001,20832,1,0,0,36073,444,7193,27278,16.53,123983,37688,28662,13,23513,39784,0,20688,0,0,214,-1,39721.38,516378,152053796,0,6982,10977,20144,35.8,516378,656,53020,43865,0,97384,133100,0,151534,199479,1,1,
1986,21,13,7,71664,130219,7883,29449,0,0,0,95363,1206,6771,21073,6.9,34915,27944,40,591,17291,60797,0,30638,0,0,167,0,878.84,519393,0,544,3882,14221,10019,27.5,496978,1165,71950,60029,1,157603,235234,1,107227,146101,1,1,
1980,71,33,16,50626,104277,13407,45452,0,0,0,109705,1902,9402,13467,16.92,21440,36095,19836032,19887,19128,25545,0,10402,0,0,14679,1,23.27,462827,0,2011,7565,5487,9206,35.7,400956,0,54452,33459,1,79533,142073,1,122439,172804,1,1,
