YEAR,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,PREVPARTY,PREVCANDVO,PREVTOTVO,PARTY,CANDIDATEVOTES,TOTALVOTES,ISTEST,,
1982,44,4,5,73375,29982,69610,30353,1,0,0,97932,1826,11963,26070,1.61,20662,43303,35801,785,20066,42534,0,24538,0,0,464,0,690.84,542310,0,839,11274,12345,10562,12.7,472836,463,75429,66582,0,117091,168650,0,38758,59184,1,1,
1988,23,1,3,75969,56621,363983,45980,1,0,0,107592,376,7278,9017,1.17,29333,37800,693643,58,23152,53668,0,18689,0,0,300,0,8870.34,514480,0,0,7370,7655,39178,33.7,514480,0,54342,27537,0,94307,105784,0,127800,140138,1,1,
1988,47,2,5,94584,29810,214999,56924,0,0,0,108943,10664,6635,9697,1.61,5315,43941,356980,4481,17825,64206,0,16099,0,0,515,0,119.66,536177,0,24689,19481,6772,15156,8.9,262917,444,53007,41113,0,95320,127835,0,128832,128832,1,1,
1992,47,4,5,46156,104000,110993,29964,0,0,0,74051,4623,6220,20915,1.52,22005,64906,359282,1836,14843,46314,0,-1,0,0,665,1,300.89,552441,0,5406,43843,11402,10266,8.9,356993,0,707899,64887,0,139396,240057,0,171299,265060,1,1,
1988,52,7,2,91673,19362,386658,43439,1,0,1,109013,1000,19941,11077,16.53,10768,65021,34476,49,27877,34501,0,15072,2,0,587,0,10773.63,527908,36425293,10,17203,10724,26992,18.6,527409,278,56727,32488,0,79226,91398,0,117650,117650,1,1,
1994,49,4,13,77324,184000,47020,41997,1,0,0,98864,7851,4830,15850,8.95,12786,34108,1054354,6823,16189,51220,0,32013,0,0,329,0,83.14,567231,0,15267,13089,-1,14206,12.5,182567,71,1650800,56831,0,128008,220333,0,99303,168947,1,1,
1992,40,2,2,40449,74400,93855,21876,1,1,0,79449,2364,25114,16553,28.01,27548,51044,161198,283,19136,20294,0,-1,7,5,82240,0,1988.65,562789,48735645,230,6794,10367,11961,10.9,559253,0,689418,56662,0,55179,73618,0,99253,177133,1,1,
1984,46,3,5,95933,13650,161621,47738,0,0,0,98954,7921,7707,8647,1.61,4196,38667,102698,9827,15262,48838,0,14696,2,2,5933,-1,51.39,505032,0,18433,15698,7571,13645,9.3,205595,0,49026,36412,0,114530,123049,0,158002,158002,1,1,
1984,71,28,16,84313,216356,202920,46281,1,0,0,80188,3913,8775,17976,14.69,146446,39915,21739962,47,24718,57603,0,16269,0,0,435,-1,11194.13,526124,36373907,0,6422,13928,18546,25.4,526124,0,54715,44964,0,103469,131152,0,113076,149517,1,1,
1986,40,8,2,37699,29834,54284,18492,0,0,1,112810,1555,67847,17913,16.53,37171,94581,289424,580,22024,13779,0,29850,0,0,25228,0,921.46,534447,0,368,4710,11378,8982,10.9,487413,0,79605,43717,1,125015,224091,1,72670,117655,1,1,
1982,21,6,7,61516,130219,4168,35864,0,0,0,98632,846,5228,19323,6.9,44246,25329,40,162,16847,71044,0,29491,0,0,144,0,3204.15,519073,0,0,3254,17239,10503,27.5,519073,0,69444,66625,1,123593,184550,1,97918,143168,1,1,
1986,53,5,11,97808,29628,30655,32598,1,0,0,86956,4044,9982,17508,7.19,12628,37393,9108,4157,14892,37948,0,20839,0,0,1231,0,121.02,503064,0,7841,12519,8318,7408,12.9,443438,0,70976,53404,1,135167,178726,1,108774,154030,1,1,
1982,82,1,19,65384,6111,7008,22888,1,1,0,70586,2748,18524,19013,0.59,85732,49234,238737,179,6626,16983,0,24714,12,4,27578,0,2695.04,482412,0,0,24084,14968,9935,31.5,481874,0,53668,58826,0,98256,123181,0,134779,149907,1,1,
1996,23,12,3,73906,106000,21822,38730,0,0,0,83156,1280,6312,18607,2.02,51176,25765,705471,149,15296,74871,0,45143,1,0,460,0,3899.24,580987,0,0,4157,8244,16166,33.7,580987,0,973369,67843,0,103508,199018,0,133436,232475,1,1,
1992,12,2,2,87781,100300,84066,38066,0,1,0,85412,5349,6195,16020,28.01,24548,47269,33875,1912,27639,36745,0,-1,0,0,1821,1,311.05,594723,0,4608,13435,10440,16909,19.9,330803,0,790452,54095,0,97698,110818,0,132465,237027,1,1,
1988,34,7,11,129033,40975,4406,50066,0,0,0,102799,14142,4510,9503,7.19,5107,28216,54412,10456,15243,52961,0,15056,0,0,274,0,52.21,545921,0,50247,8463,11691,16454,26.6,266281,0,71577,47373,1,114210,170501,1,127939,240911,1,1,
1988,52,2,2,74833,19362,28137,41551,0,0,1,93152,2712,13716,18458,16.53,18303,47044,34476,722,22550,56841,0,24190,0,0,1670,0,729.34,526584,0,2948,10778,11320,14921,18.6,452985,215,76827,53290,1,96745,164946,1,157956,221070,1,1,
1984,23,1,3,75969,56621,363983,45980,1,0,0,107592,376,7278,9017,1.17,29333,37800,693643,58,23152,53668,0,18689,0,0,300,-1,8870.34,514480,0,0,7370,7655,39178,33.7,514480,0,54342,27537,0,125517,129850,0,152432,170510,1,1,
1996,65,1,15,66213,18000,62843,31188,0,0,0,86634,3340,8011,18578,0.37,63223,32405,48212744,230,16841,14208,0,34114,1,1,4460,0,2613.23,601128,0,0,7553,12668,20493,22.1,597438,0,173293,58625,1,73769,152167,1,86472,172593,1,1,
1990,71,4,16,63630,216356,30248,26844,0,0,0,100903,7651,17815,12399,14.69,40805,59924,21739962,2398,18792,21821,0,20467,2,2,12968,0,219.25,525754,0,8046,23317,10730,23650,25.4,470020,0,78139,47001,0,181184,182490,0,115090,210454,1,1,
1990,12,13,2,108138,41732,40717,25557,0,1,0,101539,1777,10923,14201,16.53,31246,39751,36417,967,21771,39118,0,22419,3,2,16520,1,543.99,526043,0,1356,7057,9241,15404,19.9,402359,0,74861,45591,1,167470,241031,1,99688,171406,1,1,
1992,71,13,16,53092,328500,42060,42257,1,0,0,85737,2733,10178,19910,99.34,123353,36521,21892142,239,19389,72466,0,-1,0,0,1412,0,2394.7,572333,0,0,6954,19707,14691,25.4,571615,0,2856770,66127,0,97286,167646,0,123795,205516,1,1,
1980,44,9,5,38858,9700,28905,97947,0,1,0,102660,7173,4317,9243,1.19,884,19855,28709,6560,10070,77122,0,7657,0,0,323,0,69.7,457247,0,23464,5468,4329,4753,17.5,97605,0,42409,29646,0,47264,61437,0,115576,169918,1,1,
1980,49,2,13,54668,56879,95661,67443,1,0,0,108273,6038,3052,8087,1.91,1823,24354,863488,17174,10794,36243,0,7258,0,0,254,1,27.18,466836,83674039,21679,10508,5423,5833,15.8,195610,0,47115,30753,0,66986,95570,0,142496,205768,1,1,
1980,13,35,3,40686,164253,29034,74454,0,0,0,112973,4731,3158,9220,0.78,24891,25156,22418,2291,14424,73714,0,11528,0,0,151,0,204.02,467415,0,14334,7574,3899,6619,40.2,307881,241,51718,32842,1,96119,138593,1,127623,176774,1,1,
1982,24,9,3,94493,62434,64394,41183,1,1,0,88580,1947,4189,9589,1.17,14783,29723,14065,572,18382,54290,0,21600,0,0,222,0,898.9,514168,0,4910,7152,11256,26881,27.4,468479,0,65475,47087,1,96927,172423,0,95162,164217,1,0,
1988,49,10,13,72226,152838,54556,27679,1,0,0,91577,4254,10776,17590,3.12,22614,74450,993895,4206,21984,29194,0,19457,1,1,4719,0,125.34,527189,0,6367,41690,5306,9845,12.5,424914,0,61360,50833,0,135863,187863,0,232213,248494,1,1,
1996,24,5,3,73877,132900,12059,67381,0,1,0,100354,8167,2754,9463,2.02,6197,28136,16784,5200,17665,87688,0,34855,0,0,406,0,109.8,570946,0,33720,7717,9944,16374,27.4,31507,0,1216668,49877,1,135879,185214,1,145892,238523,1,1,
1994,13,13,2,81040,770500,32686,27138,1,1,0,64134,862,8069,46434,28.01,96311,53108,14427,65,37337,21134,0,46598,2,1,1729,0,8915.71,579521,127030215,0,7702,-1,17406,35.8,579521,603,1650271,46441,1,92144,217142,1,83509,158567,1,1,
1994,48,4,5,71524,27700,114656,65371,0,0,0,92581,3120,2846,13729,1.52,9516,27878,25839,2186,12383,90094,0,32866,0,0,457,0,265.96,581385,0,3046,12649,-1,13294,5.8,352042,0,364230,61426,1,99879,198410,1,109626,149176,1,1,
1996,51,3,4,85092,45500,112278,44182,0,0,0,78699,2264,8765,22392,15.61,9183,35657,158468,238,15549,51486,0,32863,1,0,660,0,2576.75,613266,0,82,11343,15009,17687,20.4,602287,266,368031,65369,0,67663,152523,1,126625,251951,1,0,
1988,13,15,2,125330,326416,27071,20527,1,1,0,30984,383,8955,36777,16.53,130678,30574,28662,7,17217,47813,0,24237,0,0,2492,0,73773.43,516414,152053796,0,4402,11603,15902,35.8,516414,838,57659,52413,1,54949,100361,1,100701,175483,1,1,
1980,71,13,16,40692,104277,5426,49412,0,1,0,117333,6377,9411,15974,16.92,33866,34059,19836032,3785,19277,27641,0,11188,0,0,2833,0,122.89,465155,0,4848,5371,3438,10766,35.7,414162,0,56350,36145,0,100809,175361,0,132246,224609,1,1,
1996,71,15,16,54148,328500,12273,25931,1,1,0,73847,2743,5002,20560,99.34,85760,33943,21892142,452,22761,92775,0,57300,0,0,721,0,1266.28,572360,0,521,6180,9603,11866,25.4,549185,0,2856770,62424,0,119921,200204,1,132737,226868,1,0,
1984,42,2,11,96811,13619,95813,45701,0,0,0,109631,6274,10434,14558,7.19,7314,46744,185656,6000,16865,47910,0,17271,1,1,6363,-1,94.85,569116,0,12772,19445,10436,14636,13.2,385075,1269,71414,51306,1,96775,179688,0,103165,219079,1,0,
1988,62,5,10,48704,20091,19882,22865,0,0,0,101497,2602,11577,16291,5.09,21084,35055,8892807,10467,17199,28675,0,21535,3,1,27172,0,46.03,481746,0,4704,6279,7151,13215,18,380569,0,71487,42865,1,121153,173641,1,181612,241728,1,1,
1982,43,10,5,143966,59373,66814,35558,0,1,0,90395,14405,3228,11408,1.61,18901,30414,2083517,3966,20404,27376,0,16170,1,0,353,0,129.32,512899,0,6902,6782,7615,10457,9.6,370572,0,69754,46462,1,272393,345039,0,1,1,1,0,
1994,73,1,17,51735,41400,6808,26623,1,1,0,81943,3803,12883,27091,27.15,40932,40336,2173187,374,14430,48320,0,45857,3,1,4607,0,1444.69,545704,0,843,13023,-1,9556,32.9,476919,0,628943,63398,0,148844,271274,1,100554,194664,1,0,
1990,13,6,2,100241,326416,259549,34172,1,1,0,92991,866,11366,24010,16.53,92394,49741,28662,41,31232,30309,0,19664,0,0,177,0,12600.37,516615,152053796,0,7143,24496,17244,35.8,516615,0,56228,33182,0,90196,110053,0,42499,83558,1,1,
1980,14,10,2,59387,55542,2010,84557,0,0,0,104001,6520,5902,9046,2.32,15284,24692,13017,5872,10425,61818,0,8318,1,0,378,0,80.38,472007,0,21936,8365,6584,8638,40,246648,0,58006,32517,1,116003,151724,1,145703,190319,1,1,
1982,45,3,8,56421,30829,80124,40913,0,1,0,97464,4371,5344,12405,57.97,13817,30185,9933,4528,16366,30314,0,21793,0,0,417,0,116.2,526140,0,2716,8475,15994,9235,13.8,377370,0,56360,49643,0,80455,94529,0,1,1,1,1,
1984,31,5,10,120837,25468,1727,36495,0,0,0,95235,29709,5202,10774,5.09,5405,30952,1648,15157,17680,30658,0,18095,0,0,240,-1,32.04,485639,0,92216,8070,11091,10370,20.5,214060,444,59487,45990,0,93333,158563,1,104632,206067,1,0,
1990,62,2,10,41516,20091,3909,36404,0,0,0,98506,2779,9688,14825,5.09,16697,40194,8892807,1442,18765,50950,0,24050,0,0,402,0,333.9,481483,0,2296,11741,12526,10846,18,437168,0,65424,56383,0,147437,235015,0,105248,173474,1,1,
1992,24,13,3,61306,132900,25510,50198,0,1,0,94160,4349,4482,14088,2.02,13911,26484,16784,1687,18114,75215,0,-1,0,0,471,0,338.37,570838,0,6797,3888,10387,14480,27.4,322609,0,1216668,56531,0,93431,164862,0,134486,252258,1,1,
1990,71,31,16,58207,216356,178070,54350,1,0,0,111542,2595,10547,9528,14.69,94326,38025,21739962,81,22945,76806,0,19181,0,0,796,0,6490.59,525738,36373907,0,4533,14353,17970,25.4,525738,0,58112,40438,0,100919,141027,0,56394,83987,1,1,
1982,44,7,5,68785,29982,32902,52533,0,0,0,109554,2607,7848,17176,1.61,7830,33821,35801,2416,17809,69315,0,20296,3,1,1200,0,225.96,545913,0,3843,8164,12844,13532,12.7,385768,0,73518,57099,0,115892,170142,0,71647,117224,1,1,
1990,54,2,6,94058,28086,33611,47479,0,0,0,96447,3659,13855,9693,0.13,5309,45988,261151,2814,17322,50127,0,17196,0,0,355,0,181.31,510197,0,8424,14811,8087,15604,17.3,317476,0,62526,46155,1,99631,177174,1,62797,77944,1,1,
1984,13,2,2,65070,326416,44296,39264,0,1,0,121213,2237,7417,14560,16.53,38548,45255,28662,166,25781,49800,0,23647,0,0,119,-1,3104.87,515409,0,0,12057,16404,14768,35.8,514744,0,68541,44381,0,78582,126712,0,92329,178503,1,1,
1984,3,10,1,123933,36234,7058,37150,0,1,0,104405,4581,6607,13724,5.78,44318,39326,29945,1099,25084,45926,1,19577,1,1,1973,-1,475.16,522200,0,816,7635,8275,15659,19.7,284839,0,72676,48840,0,138418,201436,0,143062,256824,1,1,
1988,71,41,16,91485,216356,12010,19300,1,1,0,75685,3630,14126,21100,14.69,58928,49336,21739962,285,22588,37755,0,23456,1,1,17594,0,1846.41,526226,0,26,12622,7553,15169,25.4,498165,576,81565,52905,1,133566,196923,1,187380,285761,1,1,
1986,33,5,7,114241,36769,29663,39338,1,0,0,65073,1226,7616,21877,6.9,22451,43306,196386,89,20192,51365,0,21500,1,0,253,0,5725.89,509604,0,0,15498,13487,12262,24.5,509604,713,70257,61101,0,165075,235442,0,105410,144997,1,1,
1984,40,10,2,64952,29834,35107,15850,0,0,1,91463,2885,65354,22455,16.53,59560,90106,289424,738,20034,15574,0,31287,3,1,9991,-1,725.08,535111,0,2339,4718,9788,7961,10.9,499141,0,81076,44001,1,86506,164035,1,158528,253625,1,1,
1980,13,22,2,73351,164253,82384,53405,1,1,0,74839,126,8382,28249,2.32,99732,32289,22418,9,20605,35089,0,8850,0,0,432,0,51881.22,466931,177814618,0,3302,10472,7773,40.2,466931,987,45487,40252,0,54110,69837,0,63178,79015,1,1,
1994,49,21,13,75757,184000,14155,22964,1,0,0,91667,8368,12841,24315,8.95,23400,47356,1054354,17316,18257,29160,0,37861,2,1,7882,0,32.69,566105,0,11945,16258,-1,12006,12.5,277188,190,1650800,57746,1,190979,264653,1,165595,184075,1,1,
1982,71,34,16,48437,216356,12346,60186,0,0,0,117671,2443,4706,11246,14.69,100056,28404,21739962,100,18522,73999,0,21658,0,0,303,0,5263.13,526313,0,0,5176,13046,15198,25.4,526313,0,61386,51825,1,138024,192169,0,68316,119342,1,0,
1990,49,23,13,57621,152838,21783,31419,1,0,0,133938,6709,15856,10322,3.12,61365,45592,993895,12491,23286,20172,0,15889,3,2,16465,0,42.18,526927,0,6344,6450,8642,12574,12.5,437967,0,54814,44924,0,116423,180430,0,71052,111908,1,1,
1996,13,31,3,85757,770500,13322,44809,0,1,0,98634,10102,4631,8956,2.02,12246,44187,14427,6587,23201,57561,0,30172,1,0,997,0,88.11,588110,0,17370,16355,8412,17976,35.8,69882,208,1650271,51389,1,106898,195961,1,119395,225718,1,1,
1988,21,5,7,98295,130219,17921,66365,1,0,0,73863,1071,4165,14955,6.9,109490,21572,40,75,14299,77003,0,20773,0,0,152,0,6923.12,519234,22610102,0,3108,16672,21051,27.5,518743,0,58297,50820,0,82466,117204,0,93567,152695,1,1,
1994,71,13,16,53092,328500,42060,42257,1,0,0,85737,2733,10178,19910,99.34,123353,36521,21892142,239,19389,72466,0,48651,0,0,1412,0,2394.7,572333,0,0,6954,-1,14691,25.4,571615,0,2856770,66127,0,123795,205516,0,97344,150642,1,1,
1984,73,1,17,76254,24508,4469,28414,1,0,0,92483,3190,11906,22979,5.89,35914,42598,2126782,986,17663,45198,0,25961,1,1,5690,-1,523.63,516298,0,867,13029,11788,13804,32.9,448698,0,81392,55730,1,123956,183400,1,147926,262927,1,1,
1986,24,1,4,93645,62434,84058,38698,1,0,0,84385,1310,7065,13047,21.93,12860,33300,14065,262,19018,58466,0,21445,0,0,214,0,1968.33,515702,0,529,7217,10470,15232,27.4,486541,0,65672,52163,0,121577,220658,0,90477,146577,1,1,
1984,46,1,8,99906,13650,124185,64419,0,0,0,105950,8366,7185,6071,57.97,3201,33666,102698,10247,16041,71741,0,14300,0,0,346,-1,49.18,503982,0,24214,10440,8127,13919,9.3,163377,0,47862,33606,0,79726,112476,0,136530,154521,1,1,
1984,21,8,7,102917,130219,22465,64789,1,0,0,76264,706,4801,14497,6.9,115116,22444,40,33,14283,82525,0,18433,0,0,67,-1,15725.15,518930,22610102,0,3360,10541,19261,27.5,518930,0,48330,44564,0,124318,148985,0,114385,160417,1,1,
1986,14,20,4,114198,98577,28864,47174,0,0,0,84514,866,4274,10129,21.93,16326,23236,34405,464,15567,65183,0,20738,0,0,226,0,1111.98,515961,0,803,3395,8938,17703,27,449640,0,78533,45513,0,158751,208998,1,136638,138752,1,0,
1982,71,27,16,81300,216356,55298,31003,1,1,0,70901,3828,6983,22609,14.69,102840,35711,21739962,143,20171,63154,0,22634,1,0,3827,0,3673.62,525327,80351240,158,8557,15696,14381,25.4,511598,1225,65924,53236,1,109807,215316,0,108347,182217,1,0,
1996,48,3,5,75458,27700,120091,70802,0,0,0,97689,4686,6603,9753,1.52,5210,40638,25839,5385,11757,93343,0,31237,0,0,572,1,107.87,580873,0,8522,22278,6740,14202,5.8,121991,0,364230,48531,1,90123,150068,1,114273,189525,1,1,
1986,53,6,11,111502,29628,49326,37829,1,0,0,95910,16935,11740,10333,7.19,7628,41454,9108,25638,19313,25706,0,17687,1,1,2644,0,19.63,503181,0,37464,10401,10466,6742,12.9,329688,423,64740,44921,0,96994,164595,0,1,1,1,1,
1984,62,5,10,48704,20091,19882,22865,0,0,0,101497,2602,11577,16291,5.09,21084,35055,8892807,10467,17199,28675,0,21535,3,1,27172,-1,46.03,481746,0,4704,6279,7151,13215,18,380569,0,71487,42865,1,84479,141871,1,163654,208242,1,1,
1992,21,2,7,54804,212000,391200,41669,1,1,0,104411,872,13188,19742,7.03,24342,48075,399,124,25270,36704,0,-1,0,0,564,0,4614.42,572188,0,12,9617,22683,34104,27.5,571122,0,1125388,46297,0,80245,102595,0,182614,233864,1,1,
1982,24,17,4,94545,62434,55208,55825,0,0,0,93239,1807,3264,8471,21.93,19943,23805,14065,834,16019,72606,0,21162,1,0,173,0,617.77,515223,0,3525,4522,8102,25458,27.4,412478,0,74720,44229,1,128870,176770,1,98476,178851,1,1,
1994,51,6,4,70502,45500,49943,46916,0,0,0,95309,14173,8864,15418,15.61,8883,55112,158468,4642,15089,53138,0,30482,1,0,699,0,132.32,614245,0,31221,31159,-1,16651,20.4,221116,650,368031,60774,0,135613,223450,0,70085,119117,1,1,
1980,54,7,8,53469,15434,93774,74686,1,0,0,110867,12116,7484,9096,32.29,1900,28259,256012,7187,15038,54547,0,7030,3,1,13978,0,67.77,487097,0,56558,5737,4513,8383,23.5,233483,0,44927,32390,0,96863,132866,0,133606,172835,1,1,
1994,49,8,13,39463,184000,29470,25852,1,0,0,102373,4883,4963,19496,8.95,29182,45568,1054354,3050,18013,31594,0,42696,0,0,480,0,185.76,566572,114465835,6740,22592,-1,12562,12.5,296680,0,1650800,61983,1,179349,232822,1,148473,161304,1,1,
1992,13,26,2,76292,770500,32096,33807,0,0,0,80489,3956,5010,13767,28.01,35311,46787,14427,3083,23634,55048,0,-1,0,0,447,0,188.3,580540,0,3823,18143,8665,14938,35.8,266649,0,1650271,52374,1,82866,156701,0,112763,266740,1,0,
1986,51,2,4,82125,23445,31614,50677,0,0,0,101563,13268,8667,7125,21.93,6692,32027,62391,6790,13752,52322,0,15815,1,1,23575,0,76.68,520634,0,58776,9608,6164,19098,20.4,230410,0,54489,38549,0,93042,149742,0,57644,57652,1,1,
1986,82,1,19,64918,6111,7114,22573,1,1,0,70675,2673,18584,19051,0.59,84425,49285,238737,179,6641,16846,0,24712,12,4,28087,0,2694.49,482313,0,0,24060,14959,9963,31.5,481874,0,53762,58514,0,114884,138865,1,99683,168377,1,0,
1982,4,2,1,82869,3986,2159,44309,0,0,0,87846,4133,5323,11013,5.78,19326,30411,4753,4478,16209,72761,0,19780,1,0,340,0,102.68,459783,0,4451,8879,5913,10605,12.3,231436,0,66218,39137,1,113304,176679,1,92098,130007,1,1,
1996,62,5,12,39932,34400,30242,22235,0,0,0,92742,2918,14190,20586,2.53,23409,38741,8853058,4231,18299,36651,0,38651,5,3,29314,0,129.82,549264,0,1969,6252,9302,14868,18,433759,0,389134,52561,1,138674,138674,1,188805,262465,1,1,
1986,24,11,4,68155,62434,10234,51980,0,1,0,105464,4576,3484,9581,21.93,14953,30096,14065,2088,19980,82140,0,22668,1,0,123,1,245.6,512805,0,9193,6632,8334,17187,27.4,288946,0,67337,41314,0,133096,199374,0,104740,144568,1,1,
1980,48,5,5,34485,4873,139661,94309,0,0,0,109976,3990,3104,6517,1.19,1368,18652,3980,6327,9546,81725,0,7623,1,1,6407,1,69.84,441907,0,14208,6002,2374,7355,11.6,173775,0,38802,22664,0,63013,76220,0,99773,114025,1,1,
1996,71,8,16,78265,328500,73442,29165,1,0,0,53524,1578,12009,33060,99.34,193299,40174,21892142,34,18446,29558,0,36960,2,1,4601,0,16858.59,573192,0,0,9719,17742,20019,25.4,573192,0,2856770,65324,0,137642,168171,0,175216,207738,1,1,
1984,73,2,17,97772,24508,2573,36158,0,1,0,97767,12146,6845,10185,5.89,26141,35242,2126782,12231,18763,44849,0,19889,5,2,6575,-1,42.23,516460,0,11793,9634,7850,20952,32.9,247679,0,77355,43111,0,101383,170005,0,142065,242392,1,1,
1990,71,33,16,69016,216356,28796,36488,0,1,0,103595,2536,4891,15991,14.69,59407,36427,21739962,973,23669,60322,0,25571,0,0,262,0,539.95,525368,0,113,7867,9941,12149,25.4,513110,0,70494,55022,1,151704,219383,1,101336,159157,1,1,
1996,42,2,11,72311,26000,103456,43385,0,0,0,91862,5394,10668,17523,11.81,7753,48025,390163,5923,13830,42458,0,30011,1,1,5552,1,99.17,587412,0,7101,23527,13159,15026,13.2,305498,772,254746,60446,0,97580,170053,0,114841,219389,1,1,
1988,24,7,4,81502,62434,27524,47493,0,0,0,106576,7677,12585,8991,21.93,6522,38562,14065,3363,18983,60726,0,19828,2,2,4711,0,152.44,512667,0,26195,6994,6984,18802,27.4,294511,0,66967,39306,1,119238,119238,1,142597,193020,1,1,
1982,24,21,3,101738,62434,320822,47040,1,1,0,92321,708,10636,10714,1.17,25457,40443,14065,79,24475,56594,0,18005,0,0,224,0,6509.68,514265,0,0,5332,10302,22761,27.4,514265,1298,58363,34506,0,83188,94291,0,132544,153876,1,1,
1994,1,4,1,76055,32900,72040,27503,0,1,0,67547,3292,4737,31715,24.75,76168,28703,4602,253,18973,52929,0,56320,0,0,299,0,2164.27,547561,0,46,4993,-1,16283,18.9,522960,0,362633,55330,1,147816,219615,1,109436,147062,1,1,
1986,23,16,3,83896,56621,13875,45302,0,1,0,98080,2116,3426,10139,1.17,31340,25106,693643,960,18094,73425,0,24996,0,0,212,1,536.01,514574,0,7376,3586,9555,26479,33.7,407675,539,68706,41723,0,121463,190622,0,101659,130636,1,1,
1996,82,2,19,55473,22300,13206,29215,0,1,0,91291,12519,14799,15523,2.05,62291,48156,245343,6241,9122,15388,0,40385,5,3,25743,0,88.78,554055,0,6277,24235,14207,9758,31.5,194045,0,112011,55215,0,124431,177396,0,109178,180963,1,1,
1986,14,17,2,101752,98577,34122,54994,0,0,0,94285,4954,10300,11082,16.53,8579,46523,34405,3366,15657,59227,0,18846,0,0,375,1,153.27,515908,0,13244,20566,11911,16281,27,278544,0,68269,42320,1,129716,178651,1,101027,137184,1,1,
1980,23,8,3,40630,34585,28186,71565,0,1,0,123650,6642,2435,7950,0.78,10963,18850,580528,3894,12341,60355,0,10270,0,0,362,1,119.98,467206,0,42802,4074,3895,9867,43.5,244318,217,45813,31462,0,103346,155248,0,124155,204401,1,1,
1982,67,1,15,59336,7991,5330,29436,0,0,0,118905,6797,27650,9015,0.01,13541,54237,23062936,46994,14640,28233,0,19614,6,1,6239,0,10.38,487833,0,10421,11947,7782,11669,16.8,376147,0,53897,37365,1,157111,301570,1,111416,177422,1,1,
1988,53,4,11,75726,29628,31904,33422,1,0,0,103654,7331,17696,10082,7.19,15267,52142,9108,8253,18087,28333,0,17825,3,3,25767,0,61.29,505854,0,16850,16359,8032,9552,12.9,373928,0,64070,44256,0,94984,124681,0,1,1,1,1,
1988,23,6,3,57936,56621,36352,40315,0,0,0,109709,3310,3783,11484,1.17,17894,52981,693643,1517,23273,56321,0,24021,0,0,148,0,339.13,514465,0,7896,25925,5483,22015,33.7,344019,0,59087,43139,0,74927,132217,0,120581,204625,1,1,
1988,3,3,1,99498,36234,7608,46794,0,0,0,102860,1961,5186,12887,5.78,34384,39043,29945,729,23009,79763,0,21847,0,0,613,0,715.18,521363,0,1098,10848,7876,11668,19.7,396439,0,69600,45204,0,120222,160202,0,191005,191383,1,1,
1986,24,13,3,71675,62434,26735,55177,0,1,0,110357,4803,4003,9629,1.17,13684,25623,14065,1799,18864,78165,0,22127,0,0,243,0,286.46,515344,0,13145,2756,8890,21177,27.4,368404,0,67016,39935,0,131923,198756,0,88612,141064,1,1,
1980,42,1,8,57771,6944,110722,57899,0,0,0,120761,18690,4187,7084,32.29,1011,20101,29755,13645,10354,37070,0,5381,1,1,2628,0,35.17,479893,0,72347,5560,4252,13571,19.4,195131,0,41349,28459,0,1,1,0,1,1,1,1,
1994,13,22,2,74063,770500,12520,38075,0,0,0,92773,6530,5837,16518,28.01,19487,54107,14427,6510,23327,45531,0,38589,0,0,1836,0,89.17,580522,0,8401,24943,-1,14367,35.8,120578,0,1650271,54246,1,136909,284496,1,129579,234916,1,1,
1980,14,3,2,56599,55542,134444,78615,1,0,0,100854,388,8516,15068,2.32,32003,23198,13017,22,11628,59564,0,8368,1,0,432,0,21456.41,472041,52029803,0,3054,7902,10546,40,472041,0,53098,33693,0,86015,119765,0,67942,124608,1,1,
1996,45,6,8,55372,40100,191278,33002,0,0,0,96718,4084,4811,16706,367.41,10805,54287,319359,9220,16994,-1,0,31288,0,0,502,1,65.31,602764,122143111,3965,32482,9362,21557,13.8,365647,0,-1,52809,1,1,1,1,1,1,1,1,
1990,23,8,3,83816,56621,37042,44514,0,1,0,110219,7210,3075,8029,1.17,11264,26157,693643,4194,18274,60198,0,20955,0,0,317,0,122.67,514494,0,30252,4808,4886,29516,33.7,244227,158,59186,40120,0,139904,194104,0,98903,144165,1,1,
1984,21,5,7,98295,130219,17921,66365,1,0,0,73863,1071,4165,14955,6.9,109490,21572,40,75,14299,77003,0,20773,0,0,152,-1,6923.12,519234,22610102,0,3108,16672,21051,27.5,518743,0,58297,50820,0,110351,146322,0,106597,167708,1,1,
1994,48,1,5,53689,27700,116791,34269,0,1,0,93611,4931,21975,15223,1.52,13609,56142,25839,3147,14549,38154,0,32082,4,2,30926,0,184.76,581445,0,4429,19618,-1,11699,5.8,387510,235,364230,61830,1,121938,184549,1,97803,147471,1,1,
1984,71,41,16,91485,216356,12010,19300,1,1,0,75685,3630,14126,21100,14.69,58928,49336,21739962,285,22588,37755,0,23456,1,1,17594,-1,1846.41,526226,0,26,12622,7553,15169,25.4,498165,576,81565,52905,1,140130,203461,1,161068,253846,1,1,
